artifact,dataset,scope,n_objects,metric,mean,ci_low,ci_high,n_boot,unit,note
outputs/revision_v3/awa2/awa2_rule_predictions_enhanced_seed45.csv,AwA2,protocol_a_closed_world_test,7465,coverage,0.9027461486939049,0.8965840589417281,0.9094474212993973,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/awa2/awa2_rule_predictions_enhanced_seed45.csv,AwA2,protocol_a_closed_world_test,7465,covered_accuracy,0.40480783499035466,0.3939158917700662,0.41720690984393477,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/awa2/awa2_rule_predictions_enhanced_seed45.csv,AwA2,protocol_a_closed_world_test,7465,all_object_accuracy,0.3654387139986604,0.35404889484259877,0.3760247823174816,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/awa2/awa2_rule_predictions_enhanced_seed45.csv,AwA2,protocol_a_closed_world_test,7465,covered_fidelity_to_base,0.4128208933076124,0.40102805193052277,0.42436095159136,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/awa2/awa2_rule_predictions_enhanced_seed45.csv,AwA2,protocol_a_closed_world_test,7465,all_object_fidelity_to_base,0.3726724715338245,0.3620897521768252,0.38446416610850637,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/awa2/awa2_rule_predictions_enhanced_seed45.csv,AwA2,protocol_a_closed_world_test,7465,conflict_rate,0.0826523777628935,0.07622237106496986,0.08895177494976557,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/awa2/awa2_rule_predictions_enhanced_seed45.csv,AwA2,protocol_a_closed_world_test,7465,abstention_rate,0.09725385130609511,0.09055592766242465,0.10368385800401875,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/awa2/awa2_rule_predictions_enhanced_seed46.csv,AwA2,protocol_a_closed_world_test,7465,coverage,0.7721366376423309,0.7624916275954454,0.78231748158071,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/awa2/awa2_rule_predictions_enhanced_seed46.csv,AwA2,protocol_a_closed_world_test,7465,covered_accuracy,0.3887925052047189,0.37653612831278355,0.40119455130020143,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/awa2/awa2_rule_predictions_enhanced_seed46.csv,AwA2,protocol_a_closed_world_test,7465,all_object_accuracy,0.3002009377093101,0.29001674480910916,0.30998325519089087,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/awa2/awa2_rule_predictions_enhanced_seed46.csv,AwA2,protocol_a_closed_world_test,7465,covered_fidelity_to_base,0.3985079805690493,0.3855254655198931,0.4112539076068079,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/awa2/awa2_rule_predictions_enhanced_seed46.csv,AwA2,protocol_a_closed_world_test,7465,all_object_fidelity_to_base,0.30770261219022105,0.2961821835231078,0.3181547220361688,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/awa2/awa2_rule_predictions_enhanced_seed46.csv,AwA2,protocol_a_closed_world_test,7465,conflict_rate,0.214735432016075,0.20602813127930342,0.22411252511721366,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/awa2/awa2_rule_predictions_enhanced_seed46.csv,AwA2,protocol_a_closed_world_test,7465,abstention_rate,0.22786336235766913,0.2187541862022773,0.23684862692565303,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/sun/sun_rule_predictions_enhanced.csv,SUN,closed_world_seen_test,2580,coverage,0.07596899224806201,0.06589147286821706,0.08682170542635659,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/sun/sun_rule_predictions_enhanced.csv,SUN,closed_world_seen_test,2580,covered_accuracy,0.07142857142857142,0.03888649425287356,0.10825552282768777,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/sun/sun_rule_predictions_enhanced.csv,SUN,closed_world_seen_test,2580,all_object_accuracy,0.005426356589147287,0.0027131782945736434,0.008527131782945736,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/sun/sun_rule_predictions_enhanced.csv,SUN,closed_world_seen_test,2580,covered_fidelity_to_base,0.09183673469387756,0.05113346474953618,0.13131668800682886,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/sun/sun_rule_predictions_enhanced.csv,SUN,closed_world_seen_test,2580,all_object_fidelity_to_base,0.0069767441860465115,0.004253875968992248,0.010077519379844961,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/sun/sun_rule_predictions_enhanced.csv,SUN,closed_world_seen_test,2580,conflict_rate,0.9236434108527132,0.9124031007751938,0.9333333333333333,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/sun/sun_rule_predictions_enhanced.csv,SUN,closed_world_seen_test,2580,abstention_rate,0.924031007751938,0.9135658914728683,0.9337306201550387,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/derm7pt/derm7pt_rule_predictions_enhanced.csv,Derm7pt,resnet50_imagenet1k_v2_official_test_split,395,coverage,0.9898734177215189,0.979746835443038,0.9974683544303797,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/derm7pt/derm7pt_rule_predictions_enhanced.csv,Derm7pt,resnet50_imagenet1k_v2_official_test_split,395,covered_accuracy,0.5728900255754475,0.5229342996888678,0.6218344251171166,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/derm7pt/derm7pt_rule_predictions_enhanced.csv,Derm7pt,resnet50_imagenet1k_v2_official_test_split,395,all_object_accuracy,0.5670886075949367,0.5214556962025316,0.6177215189873417,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/derm7pt/derm7pt_rule_predictions_enhanced.csv,Derm7pt,resnet50_imagenet1k_v2_official_test_split,395,covered_fidelity_to_base,0.7416879795396419,0.6964285714285714,0.7862595419847328,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/derm7pt/derm7pt_rule_predictions_enhanced.csv,Derm7pt,resnet50_imagenet1k_v2_official_test_split,395,all_object_fidelity_to_base,0.7341772151898734,0.6886075949367089,0.7772784810126582,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/derm7pt/derm7pt_rule_predictions_enhanced.csv,Derm7pt,resnet50_imagenet1k_v2_official_test_split,395,conflict_rate,0.0,0.0,0.0,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
outputs/revision_v3/derm7pt/derm7pt_rule_predictions_enhanced.csv,Derm7pt,resnet50_imagenet1k_v2_official_test_split,395,abstention_rate,0.010126582278481013,0.002531645569620253,0.020253164556962026,1000,object,Object-level bootstrap computed from enhanced prediction export with true labels and base predictions.
