artifact,dataset,scope,n_objects,n,coverage,abstention_rate,conflict_rate,all_object_accuracy,all_object_fidelity_to_base,covered_accuracy,covered_fidelity_to_base
outputs/revision_v3/awa2/awa2_rule_predictions_enhanced_seed42.csv,AwA2,protocol_a_closed_world_test,7465,7465.0,0.8468854655056932,0.15311453449430676,0.13784326858673812,0.3433355659745479,0.3480241125251172,0.4054096804808605,0.4109459031951914
outputs/revision_v3/awa2/awa2_rule_predictions_enhanced_seed43.csv,AwA2,protocol_a_closed_world_test,7465,7465.0,0.8257200267916945,0.17427997320830543,0.15847287340924313,0.31574012056262557,0.3260549229738781,0.3823815704088254,0.39487345879299157
outputs/revision_v3/awa2/awa2_rule_predictions_enhanced_seed44.csv,AwA2,protocol_a_closed_world_test,7465,7465.0,0.8925653047555258,0.10743469524447422,0.09390488948425987,0.36155391828533157,0.3632953784326859,0.40507279003451896,0.4070238631247186
outputs/revision_v3/awa2/awa2_rule_predictions_enhanced_seed45.csv,AwA2,protocol_a_closed_world_test,7465,7465.0,0.9027461486939049,0.09725385130609511,0.0826523777628935,0.3654387139986604,0.3726724715338245,0.40480783499035466,0.4128208933076124
outputs/revision_v3/awa2/awa2_rule_predictions_enhanced_seed46.csv,AwA2,protocol_a_closed_world_test,7465,7465.0,0.7721366376423309,0.22786336235766913,0.214735432016075,0.3002009377093101,0.30770261219022105,0.3887925052047189,0.3985079805690493
outputs/revision_v3/sun/sun_rule_predictions_enhanced.csv,SUN,closed_world_seen_test,2580,2580.0,0.07596899224806201,0.924031007751938,0.9236434108527132,0.005426356589147287,0.0069767441860465115,0.07142857142857142,0.09183673469387756
outputs/revision_v3/derm7pt/derm7pt_rule_predictions_enhanced.csv,Derm7pt,resnet50_imagenet1k_v2_official_test_split,395,395.0,0.9898734177215189,0.010126582278481013,0.0,0.5670886075949367,0.7341772151898734,0.5728900255754475,0.7416879795396419
