sigma,rule_consistency,decision_consistency,coverage,coverage_change,abstention,conflict_rate,non_abstained_baseline_objects
0.0,1.0,1.0,0.8795713328868051,0.0,0.12042866711319489,0.11801741460147354,6566
0.01,0.9744761904761905,0.9663417605848309,0.8791694574681849,-0.00040187541862024556,0.12083054253181513,0.11828533154722036,6566
0.025,0.9325714285714286,0.917605848309473,0.8807769591426657,0.0012056262558606257,0.11922304085733426,0.11681178834561286,6566
0.05,0.8666666666666667,0.8400852878464818,0.8815807099799062,0.002009377093101117,0.11841929002009377,0.11600803750837241,6566
0.1,0.7306666666666667,0.7112397197685044,0.8940388479571333,0.014467515070328174,0.10596115204286671,0.10261219022103148,6566
