method,coverage,abstention_rate,conflict_rate,fallback_rate,exact_rate,accuracy_non_abstain,macro_f1_non_abstain,accuracy_all_with_abstention_wrong,test_coverage,test_abstention_rate,test_conflict_rate,test_fallback_rate,test_exact_rate,test_accuracy_non_abstain,test_macro_f1_non_abstain,test_accuracy_all_with_abstention_wrong,rule_count,avg_antecedent_length,avg_confidence,mean_hamming_to_prototype,test_mean_hamming_to_prototype
wedd,0.857449088960343,0.142550911039657,0.1422829581993569,0.13960342979635584,0.8603965702036441,0.40390625,0.3149355564805457,0.34632904608788856,0.8640321500334897,0.13596784996651035,0.13543201607501673,0.1319490957803081,0.8680509042196919,0.40728682170542635,0.3202575105323407,0.35190890823844606,54,4.037037037037037,0.3911662667286612,,
entropy_only,0.9632904608788854,0.03670953912111463,0.0355037513397642,0.19198821007502678,0.8080117899249732,0.3788595271210014,0.3081305777189289,0.364951768488746,0.9567314132618888,0.04326858673811118,0.041929002009377096,0.18312123241795045,0.8168787675820496,0.3816858022962756,0.30964001843662387,0.3651707970529136,52,4.134615384615385,0.4039661669007289,,
density_only,1.0,0.0,0.0,1.0,0.0,0.09780278670953912,0.06885315665732111,0.09780278670953912,1.0,0.0,0.0,1.0,0.0,0.09738780977896852,0.0672721345629895,0.09738780977896852,0,,,0.018384542098368466,0.017436927885688774
wedd_without_reducts,0.857449088960343,0.142550911039657,0.1422829581993569,0.13960342979635584,0.8603965702036441,0.40390625,0.3149355564805457,0.34632904608788856,0.8640321500334897,0.13596784996651035,0.13543201607501673,0.1319490957803081,0.8680509042196919,0.40728682170542635,0.3202575105323407,0.35190890823844606,54,7.055555555555555,0.3911662667286612,,
true_B_semantic_rule_upper_bound,0.5777063236870311,0.4222936763129689,0.42229367631296894,0.0,1.0,0.8093692022263451,0.3893708201988776,0.467577706323687,0.5774949765572672,0.4225050234427328,0.4225050234427328,0.0,1.0,0.8097889120853631,0.3895286142416996,0.4676490288010717,50,4.0,1.0,,
