method,accuracy_all,accuracy_covered,macro_f1_covered,coverage,abstention,covered_fidelity_to_base,all_object_fidelity_to_base,rule_count,avg_antecedent_length,conflict_rate
Proposed rough-set rulebook,0.35190890823844606,0.40728682170542635,0.3202575105323407,0.8640321500334897,0.13596784996651035,0.3829457364341085,0.33087742799732084,54,4.037037037037037,0.13543201607501673
CART decision tree,0.41286001339584727,0.41286001339584727,0.2830431395574532,1.0,0.0,0.4420629604822505,0.4420629604822505,53,7.0,0.0
Separate-and-conquer rule learner,0.16597454789015406,0.6334355828220859,0.517630231755871,0.2620227729403885,0.7379772270596114,0.5915132924335378,0.1549899531145345,197,3.2588832487309647,0.23014065639651707
