confidence_threshold,rule_count,coverage,abstention,accuracy_all,covered_accuracy,covered_fidelity,all_fidelity
0.0,54,0.8795713328868051,0.12042866711319489,0.19477561955793704,0.2214438014011575,0.21306731647883034,0.18740790354989953
0.049999999999999996,50,0.8850636302746149,0.11493636972538512,0.21942397856664433,0.2479188739215983,0.2397457242318753,0.21219022103148025
0.09999999999999999,41,0.9125251172136638,0.0874748827863362,0.24889484259879438,0.2727539635936583,0.2633587786259542,0.2403215003348962
0.15,33,0.9602143335565975,0.039785666443402534,0.3304755525787006,0.3441685267857143,0.3363560267857143,0.3229738780977897
0.19999999999999998,27,0.9953114534494307,0.0046885465505692725,0.3561955793703952,0.3578734858681023,0.346164199192463,0.3445411922304086
0.24999999999999997,26,0.9951774949765573,0.004822505023442725,0.36771600803750837,0.36949791358190875,0.36384439359267734,0.3620897521768252
0.3,26,0.9951774949765573,0.004822505023442725,0.36771600803750837,0.36949791358190875,0.36384439359267734,0.3620897521768252
0.35,25,0.9969189551239116,0.0030810448760884013,0.36985934360348294,0.3710024187046493,0.36482128460091373,0.3636972538513061
0.39999999999999997,21,0.9969189551239116,0.0030810448760884013,0.3856664434025452,0.38685837140553614,0.38148347218489653,0.3803081044876088
0.44999999999999996,21,0.9969189551239116,0.0030810448760884013,0.3856664434025452,0.38685837140553614,0.38148347218489653,0.3803081044876088
0.49999999999999994,21,0.9969189551239116,0.0030810448760884013,0.3856664434025452,0.38685837140553614,0.38148347218489653,0.3803081044876088
0.5499999999999999,20,0.9969189551239116,0.0030810448760884013,0.3827193569993302,0.38390217683418437,0.3759742004837409,0.37481580709979906
0.6,20,0.9969189551239116,0.0030810448760884013,0.3827193569993302,0.38390217683418437,0.3759742004837409,0.37481580709979906
0.6499999999999999,18,0.9969189551239116,0.0030810448760884013,0.38178164768921635,0.3829615694705724,0.3734211233539371,0.3722705961152043
0.7,14,0.9965170797052914,0.003482920294708647,0.3824514400535834,0.3837881435676838,0.37155531657480845,0.3702612190221031
0.7499999999999999,12,0.9962491627595446,0.00375083724045544,0.3825853985264568,0.3840258168616378,0.37205862578996907,0.3706630944407234
0.7999999999999999,10,0.9962491627595446,0.00375083724045544,0.3895512391158741,0.391017883555197,0.3783783783783784,0.3769591426657736
0.85,8,0.9962491627595446,0.00375083724045544,0.3872739450770261,0.3887320155976872,0.37595804759983864,0.37454789015405227
0.8999999999999999,0,0.0,1.0,0.0,,,0.0
0.95,0,0.0,1.0,0.0,,,0.0
