method,threshold_count,rule_count,coverage,abstention,accuracy_all,accuracy_covered,macro_f1_covered,covered_fidelity_to_base,all_object_fidelity_to_base,mean_rule_length,conflict_rate
WEDD,54,54,0.8640321500334897,0.13596784996651035,0.35190890823844606,0.40728682170542635,0.3202575105323407,0.3829457364341085,0.33087742799732084,4.037037037037037,0.13543201607501673
MDLP-like entropy,54,53,0.8713998660415271,0.12860013395847292,0.3927662424648359,0.4507302075326672,0.3504278275043938,0.45564950038431973,0.397052913596785,4.056603773584905,0.11252511721366376
Equal frequency,36,52,0.7473543201607502,0.2526456798392498,0.23241795043536503,0.31098763219214914,0.19735297776497082,0.3126008245205234,0.23362357669122572,4.288461538461538,0.2506363027461487
Equal width,36,61,0.582987273945077,0.417012726054923,0.2521098459477562,0.43244485294117646,0.2375062136293039,0.4749540441176471,0.2768921634293369,3.6721311475409837,0.41701272605492296
