signature,support,majority_label,majority_count,purity,n_labels,is_deterministic,label_counts
"(3, 3, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 2, 1, 1)",26,37,26,1.0,1,True,{37: 26}
"(2, 0, 1, 3, 0, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 0, 3, 0)",26,38,26,1.0,1,True,{38: 26}
"(1, 3, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2)",26,6,17,0.6538461538461539,5,False,"{6: 17, 48: 5, 39: 2, 27: 1, 22: 1}"
"(0, 0, 3, 0, 0, 1, 3, 0, 3, 3, 0, 3, 3, 0, 0, 0, 0, 2)",25,17,12,0.48,5,False,"{17: 12, 49: 6, 8: 5, 23: 1, 2: 1}"
"(1, 3, 1, 0, 1, 0, 1, 2, 1, 1, 1, 1, 1, 0, 1, 0, 1, 2)",23,36,7,0.30434782608695654,7,False,"{36: 7, 27: 6, 15: 4, 18: 3, 48: 1, 20: 1, 6: 1}"
"(3, 3, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 1, 0, 2, 1, 1, 1)",22,37,22,1.0,1,True,{37: 22}
"(0, 2, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",22,22,16,0.7272727272727273,4,False,"{22: 16, 41: 3, 48: 2, 45: 1}"
"(1, 3, 1, 0, 1, 0, 1, 3, 1, 1, 1, 1, 1, 0, 1, 0, 1, 2)",22,18,16,0.7272727272727273,4,False,"{18: 16, 36: 4, 48: 1, 15: 1}"
"(0, 0, 3, 0, 0, 1, 3, 0, 3, 3, 0, 3, 3, 1, 0, 0, 0, 2)",22,49,11,0.5,5,False,"{49: 11, 17: 5, 8: 3, 23: 2, 2: 1}"
"(1, 3, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2)",22,6,10,0.45454545454545453,7,False,"{6: 10, 18: 3, 48: 2, 27: 2, 39: 2, 0: 2, 20: 1}"
"(0, 3, 0, 0, 1, 0, 0, 3, 0, 0, 1, 0, 0, 0, 1, 0, 1, 2)",22,20,9,0.4090909090909091,6,False,"{20: 9, 48: 5, 36: 4, 6: 2, 22: 1, 15: 1}"
"(2, 2, 0, 2, 2, 2, 0, 3, 0, 0, 1, 0, 0, 0, 2, 2, 1, 1)",21,12,21,1.0,1,True,{12: 21}
"(0, 3, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",21,48,14,0.6666666666666666,5,False,"{48: 14, 6: 3, 22: 2, 39: 1, 41: 1}"
"(0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 1, 0, 0, 3, 0, 0, 3, 0)",20,25,15,0.75,6,False,"{25: 15, 47: 1, 45: 1, 33: 1, 32: 1, 28: 1}"
"(0, 0, 0, 1, 0, 1, 0, 2, 0, 0, 3, 0, 0, 1, 3, 0, 3, 1)",20,19,15,0.75,2,False,"{19: 15, 24: 5}"
