attribute_index,concept,tcav_score_positive_sensitivity,mean_directional_sensitivity,selected_by_transition,positive_train_fraction
11,furry,0.5840589417280643,0.0018649786672687778,True,0.5051132050194257
36,swims,0.5324849296718017,-0.006888633094960668,True,0.5048452641450454
22,paws,0.5059611520428667,-0.004401632626889503,True,0.5148483901219131
58,hunter,0.4727394507702612,-0.00316646490804352,True,0.5150716741838968
75,water,0.45586068318821166,-0.004549941282353831,True,0.6194793015674541
45,quadrapedal,0.4234427327528466,0.0004465265328355248,True,0.5031483052739696
24,longneck,0.4203616878767582,0.002322042617155894,True,0.5149377037467066
