attribute_index,attribute,val_mae,test_mae,salience,score
73,ocean,0.0733942361976483,0.07223761492160075,0.03228462114930153,0.34568108765275674
75,water,0.0829136858670206,0.08223757185980057,0.03349629417061806,0.3254794917548685
18,flippers,0.07462424995029589,0.07277542011830493,0.03052026592195034,0.322541694523148
36,swims,0.09032002016550662,0.08956004532374227,0.03179526329040527,0.28820936800686503
19,hands,0.0739152193077602,0.07458797831310615,0.025451909750699997,0.27100942678197965
53,plankton,0.04380824087711402,0.04273726249835636,0.016421308740973473,0.25735404260084016
60,skimmer,0.04520488352524311,0.043695588211245015,0.0160695631057024,0.24644723273650673
15,small,0.12063280931556744,0.12096013817780657,0.0335252545773983,0.2383885719168891
22,paws,0.1780836383471553,0.17973683659650463,0.045100219547748566,0.22768270980921357
71,jungle,0.12737776383570057,0.12712039839374187,0.033416468650102615,0.22674023394299772
7,yellow,0.0996132383604374,0.09904037521924326,0.026935415342450142,0.22518757715834192
45,quadrapedal,0.11313645273005227,0.11117653949884027,0.02991553209722042,0.2246982812278859
11,furry,0.13564923674619705,0.13647392884059956,0.03495654836297035,0.2245854145752786
13,toughskin,0.1156140805123381,0.11574930704215701,0.0304256659001112,0.22435477042771448
52,meat,0.1635727565042367,0.1620059392031596,0.04118474945425987,0.2243510978346581
31,claws,0.14916483923096313,0.14954476010088844,0.037799302488565445,0.2234465664401899
38,walks,0.13252461092030196,0.1291781863399656,0.03384588658809662,0.2219044283009643
76,tree,0.11526567824551628,0.11652323753754469,0.029326820746064186,0.21680903187306716
51,fish,0.11544644991106735,0.11556043282453886,0.029350867494940758,0.21669720774676793
12,hairless,0.13299154707147007,0.13240524976732568,0.033090099692344666,0.2162871107963018
27,meatteeth,0.1652788602045344,0.16421297638167062,0.04005355387926102,0.21617983743555422
57,grazer,0.1772095824434898,0.17691844240088486,0.04184750095009804,0.2121981114284312
61,stalker,0.13979297406994426,0.1382708354813818,0.03369087725877762,0.21084079231187297
44,bipedal,0.12251727340729529,0.12263899588788135,0.029969194903969765,0.21028464962504453
35,hops,0.0679618865544732,0.0682575145754352,0.01843222789466381,0.20954789189575948
20,hooves,0.1527918835216056,0.15277206318016862,0.03591325879096985,0.20784112111654432
54,vegetation,0.19248478937780114,0.1913976026175825,0.044018566608428955,0.20716102426589833
58,hunter,0.1613367842580957,0.15931895858365647,0.036947403103113174,0.20375018369425882
37,tunnels,0.032357861999612575,0.03261750381926586,0.010620138607919216,0.20283751479382026
17,lean,0.14926734876654582,0.15042033730042673,0.034255385398864746,0.20237444284727296
10,stripes,0.10407288463186504,0.10452647048122371,0.02500302717089653,0.20151886727775106
2,blue,0.052953099980043904,0.05200370769070215,0.014551120810210705,0.19945856741099582
70,fields,0.16573514519346427,0.16617830040578696,0.03673073649406433,0.1977586765057582
64,arctic,0.09813613996785242,0.09817589763748484,0.023003865033388138,0.19472335087000492
74,ground,0.11781872094861812,0.11857865001954046,0.026710091158747673,0.1938059718948182
28,buckteeth,0.11082253933004065,0.11062061558056387,0.025027533993124962,0.19130903681654737
14,big,0.16746548908529227,0.1665286577659804,0.03585989773273468,0.19128799603440233
23,longleg,0.14407483474048013,0.14270823943024422,0.030950350686907768,0.18863557434546527
41,strong,0.15298659578858725,0.1522205488123823,0.031477075070142746,0.18196250944559855
84,domestic,0.17869812243925978,0.17952072253149037,0.03587235137820244,0.18053694185846317
29,strainteeth,0.05577434373918006,0.056286921838600436,0.013679691590368748,0.18053197052362585
68,plains,0.1391366848935989,0.1393308165808135,0.028674989938735962,0.18019094690773832
62,newworld,0.16326478009509615,0.16175919416224374,0.03267284855246544,0.17828220204401243
65,coastal,0.10782098322780084,0.10713789811572419,0.02263818494975567,0.17710851832058122
42,weak,0.12016399750942958,0.1209928468489472,0.024334950372576714,0.17361769644833064
80,smart,0.14140277514110536,0.13850434766567854,0.027803543955087662,0.17226187053339442
4,gray,0.16601940304344057,0.16476959155939214,0.03190052881836891,0.17149033002175196
67,bush,0.13745946377492088,0.136346040869987,0.026980867609381676,0.17135119707983545
78,fierce,0.17514405411246553,0.17466848444867428,0.033055152744054794,0.16938846994028542
9,spots,0.12178203029982518,0.12114777159332452,0.02389959618449211,0.1685657634747637
24,longneck,0.09954525655616778,0.09888655131311867,0.01985505037009716,0.16608814889086257
21,pads,0.1670618021542135,0.16838568895553366,0.03083271160721779,0.16482633681567627
69,forest,0.16886838098785814,0.16916892477080647,0.031098026782274246,0.16465448911892488
49,hibernate,0.10809291917537138,0.10880550731834442,0.021065859124064445,0.1644576394985837
43,muscle,0.1295591867751953,0.12777829275333277,0.024326125159859657,0.1626521625610644
55,insects,0.07325915592164053,0.07450287401312272,0.01513703167438507,0.1623114805703765
1,white,0.17923045464915813,0.17872293665164418,0.03227684646844864,0.16200759329334308
30,horns,0.14510671736005668,0.14499578347128528,0.026660846546292305,0.16147644973251835
56,forager,0.1240515323337728,0.12294839513190975,0.023128870874643326,0.16055970040674655
3,brown,0.16993048027148316,0.16830990492957626,0.03023298643529415,0.1591792238511674
5,orange,0.09359799515271804,0.09254543626045933,0.018079323694109917,0.15915178493955434
16,bulbous,0.15035317287668537,0.15174100613693092,0.027034591883420944,0.1586973193800778
63,oldworld,0.1415553008523615,0.14092732193020568,0.024893037974834442,0.15408369668775604
50,agility,0.17491434016282134,0.17623163380567983,0.028544200584292412,0.14644484628708215
82,solitary,0.18297829287271128,0.18286409367360829,0.02880365587770939,0.14190510458067707
79,timid,0.1913055815578624,0.19018669128055923,0.029600730165839195,0.1400849421373829
8,patches,0.13989978614647064,0.13809723360949305,0.022222746163606644,0.1389792112870637
83,nestspot,0.16307995176308515,0.16344508829289942,0.024569669738411903,0.13420185826903822
0,black,0.1867339382910181,0.18455485430906196,0.02745179645717144,0.1327880496260257
46,active,0.18145154333938893,0.1803829011366416,0.026535609737038612,0.131722047382549
25,tail,0.18378712141427556,0.18325509339301033,0.026571432128548622,0.1303881812753613
26,chewteeth,0.12965349252088537,0.12853594512932928,0.01924826204776764,0.12861886297161684
33,smelly,0.08862545054362965,0.08825487262894943,0.013471385464072227,0.12401684316753572
39,fast,0.1996672725841897,0.19980368655543337,0.026522742584347725,0.12074052849262111
77,cave,0.07488212285302147,0.07473387048710121,0.011394981294870377,0.1200961883254018
81,group,0.1775359423839393,0.17741632206617014,0.023649724200367928,0.119723650870591
40,slow,0.19007821077514522,0.18979620245094758,0.025056088343262672,0.11927028629390397
59,scavenger,0.08318514730075209,0.08276772877473837,0.012279772199690342,0.11900716838537514
66,desert,0.16010123526775996,0.1568725324692549,0.020698485895991325,0.11492695130723835
32,tusks,0.062114982578340305,0.06254988820858114,0.009349813684821129,0.11386245714539497
47,inactive,0.24068388897847015,0.23837870767526365,0.029278963804244995,0.11231596980917812
48,nocturnal,0.09006693209152503,0.09078024064742467,0.012296260334551334,0.1117162085005377
72,mountains,0.13874430210468613,0.13935239186710194,0.016577526926994324,0.10442911466555849
34,flys,0.03620374712740764,0.03609892855948142,0.00513567216694355,0.09137597454670687
6,red,0.05378045837344155,0.053284525328311655,0.006557045504450798,0.08887238774340701
