operator,semantic_mae,semantic_rmse,semantic_correlation_mean,prototype_accuracy,prototype_macro_f1,runtime_seconds,rule_coverage,rule_accuracy_all,rule_accuracy_covered,rule_macro_f1_covered
Linear ridge transition,0.10756219753375405,0.15732655997826175,0.7759178439637273,0.6251841929002009,0.5171004866459101,0.0,0.8718017414601473,0.19410582719357,0.22264904732636756,0.17950237280282103
RBF kernel ridge (Nystroem),0.19575687307141976,0.25830561936397145,0.11759565342872842,0.019022103148024112,0.0007474667719436769,2.8573224544525146,1.0,0.0026791694574681848,0.0026791694574681848,0.0001068804275217101
Two-layer MLP regressor,0.1685026946828774,0.23549446495744675,0.4496837248508171,0.24943067649028802,0.20053199942960123,0.6914143562316895,0.8389819156061621,0.09149363697253851,0.10905316940763213,0.09197061417757232
