rule_id,antecedent,antecedent_text,consequent,consequent_name,support,confidence,coverage,conflict_count,antecedent_length,original_antecedent_length,source,covered_indices_sample
R0016,"{'6': 3, '9': 2, '16': 0}",ocean=s3 AND flippers=s2 AND furry=s0,23,seal,261,0.6590038314176245,0.011655428035546823,89,3,8,semantic_prototype,"[489, 685, 754, 802, 1135, 1250, 1397, 1432, 1477, 1486, 1494, 1716, 1726, 1749, 1869, 1972, 2024, 2131, 2146, 2238]"
R0017,"{'4': 0, '14': 3, '17': 1}",longneck=s0 AND jungle=s3 AND toughskin=s1,19,gorilla,615,0.6504065040650406,0.02746393962398964,215,3,5,semantic_prototype,"[17, 21, 34, 40, 45, 62, 63, 132, 168, 232, 257, 263, 356, 425, 471, 499, 510, 520, 550, 582]"
R0018,"{'8': 2, '16': 0}",water=s2 AND furry=s0,13,hippopotamus,200,0.65,0.008931362479346224,70,2,6,semantic_prototype,"[94, 247, 298, 450, 603, 627, 663, 701, 724, 788, 854, 901, 904, 1170, 1239, 1257, 1434, 1589, 1738, 1997]"
R0019,"{'2': 2, '4': 0, '6': 2, '13': 2}",swims=s2 AND longneck=s0 AND ocean=s2 AND small=s2,35,otter,131,0.648854961832061,0.005850042423971777,46,4,8,semantic_prototype,"[41, 69, 175, 180, 206, 219, 250, 854, 1094, 1572, 1580, 1836, 1900, 2267, 2268, 2296, 2303, 2304, 2658, 3384]"
R0020,"{'1': 0, '4': 0, '5': 0, '12': 0, '13': 3, '14': 0}",hooves=s0 AND longneck=s0 AND hunter=s0 AND skimmer=s0 AND small=s3 AND jungle=s0,25,hamster,328,0.6463414634146342,0.014647434466127807,116,6,8,semantic_prototype,"[80, 135, 154, 267, 340, 400, 419, 476, 492, 495, 516, 606, 718, 730, 734, 875, 967, 1016, 1105, 1118]"
R0021,"{'1': 3, '3': 0, '4': 2, '17': 2}",hooves=s3 AND paws=s0 AND longneck=s2 AND toughskin=s2,6,horse,1199,0.5287739783152627,0.053543518063680615,565,4,4,semantic_prototype,"[50, 51, 58, 61, 64, 74, 101, 109, 113, 119, 131, 148, 184, 196, 199, 222, 241, 252, 259, 264]"
R0022,"{'6': 3, '9': 3, '11': 3, '12': 3}",ocean=s3 AND flippers=s3 AND plankton=s3 AND skimmer=s3,49,dolphin,1132,0.392226148409894,0.05055151163309963,688,4,4,semantic_prototype,"[43, 67, 115, 164, 172, 195, 211, 240, 255, 281, 291, 309, 326, 405, 418, 424, 449, 454, 481, 488]"
R0023,"{'10': 3, '14': 3, '15': 0, '17': 1}",hands=s3 AND jungle=s3 AND yellow=s0 AND toughskin=s1,24,chimpanzee,524,0.383587786259542,0.023400169695887107,323,4,4,semantic_prototype,"[17, 21, 34, 40, 45, 62, 63, 132, 168, 232, 263, 356, 425, 471, 510, 520, 550, 582, 688, 696]"
R0024,"{'7': 0, '9': 3, '11': 3, '12': 3}",quadrapedal=s0 AND flippers=s3 AND plankton=s3 AND skimmer=s3,17,humpback whale,1018,0.35461689587426326,0.045460635019872284,657,4,4,semantic_prototype,"[43, 67, 164, 172, 195, 211, 240, 255, 291, 326, 418, 424, 449, 481, 488, 508, 519, 538, 579, 593]"
R0025,"{'3': 3, '5': 3, '15': 3, '17': 0}",paws=s3 AND hunter=s3 AND yellow=s3 AND toughskin=s0,40,bobcat,655,0.35419847328244275,0.029250212119858884,423,4,4,semantic_prototype,"[16, 77, 121, 153, 183, 229, 302, 320, 355, 366, 434, 457, 512, 547, 549, 569, 570, 578, 635, 666]"
R0026,"{'0': 2, '7': 3, '14': 2, '15': 3}",stripes=s2 AND quadrapedal=s3 AND jungle=s2 AND yellow=s3,14,leopard,802,0.33915211970074816,0.03581476354217836,530,4,4,semantic_prototype,"[1, 16, 44, 48, 77, 121, 202, 210, 216, 224, 229, 239, 300, 302, 355, 388, 392, 434, 457, 475]"
R0027,"{'0': 0, '3': 3, '7': 3, '17': 0}",stripes=s0 AND paws=s3 AND quadrapedal=s3 AND toughskin=s0,45,collie,1675,0.2083582089552239,0.07480016076452463,1326,4,4,semantic_prototype,"[10, 18, 23, 24, 27, 33, 47, 53, 54, 72, 90, 124, 145, 178, 181, 215, 234, 267, 274, 277]"
R0028,"{'1': 0, '4': 0, '7': 2, '17': 1}",hooves=s0 AND longneck=s0 AND quadrapedal=s2 AND toughskin=s1,1,grizzly bear,1266,0.19589257503949448,0.0565355244942616,1018,4,4,semantic_prototype,"[17, 35, 40, 41, 57, 63, 99, 104, 127, 139, 168, 189, 191, 194, 214, 230, 245, 257, 263, 278]"
R0029,"{'3': 0, '13': 0, '16': 1, '17': 2}",paws=s0 AND small=s0 AND furry=s1 AND toughskin=s2,18,elephant,2820,0.19539007092198582,0.12593221095878177,2269,4,4,semantic_prototype,"[8, 12, 29, 36, 42, 49, 50, 51, 58, 61, 64, 68, 76, 84, 101, 109, 113, 119, 122, 128]"
R0030,"{'13': 0, '15': 0, '16': 1, '17': 2}",small=s0 AND yellow=s0 AND furry=s1 AND toughskin=s2,36,buffalo,2118,0.18271954674220964,0.09458312865627652,1731,4,4,semantic_prototype,"[12, 29, 36, 42, 49, 50, 51, 64, 75, 76, 84, 109, 119, 122, 128, 141, 148, 152, 164, 170]"
R0031,"{'0': 0, '5': 0, '7': 1, '10': 2}",stripes=s0 AND hunter=s0 AND quadrapedal=s1 AND hands=s2,29,bat,277,0.18050541516245489,0.01236993703389452,227,4,4,semantic_prototype,"[100, 136, 322, 329, 491, 583, 627, 729, 788, 824, 987, 1020, 1111, 1168, 1184, 1239, 1254, 1321, 1481, 1492]"
R0032,"{'0': 0, '3': 3, '7': 3, '17': 0}",stripes=s0 AND paws=s3 AND quadrapedal=s3 AND toughskin=s0,7,german shepherd,1675,0.18029850746268658,0.07480016076452463,1373,4,4,semantic_prototype,"[10, 18, 23, 24, 27, 33, 47, 53, 54, 72, 90, 124, 145, 178, 181, 215, 234, 267, 274, 277]"
R0033,"{'0': 0, '3': 3, '7': 3, '17': 0}",stripes=s0 AND paws=s3 AND quadrapedal=s3 AND toughskin=s0,31,wolf,1675,0.15940298507462686,0.07480016076452463,1408,4,4,semantic_prototype,"[10, 18, 23, 24, 27, 33, 47, 53, 54, 72, 90, 124, 145, 178, 181, 215, 234, 267, 274, 277]"
