control,value,rule_count,coverage,covered_fidelity,covered_accuracy
$\lambda_s$,0.25,50,0.7686537173476222,0.4796096200766818,0.4414430115022656
$\lambda_s$,0.5,52,0.8763563295378433,0.4056863344542953,0.3983491287068175
$\lambda_s$,0.75,57,0.7847287340924314,0.38562649368385116,0.39347900307272105
$\lambda_H$,0.25,58,0.713596784996651,0.3514173080533133,0.35348226018396844
$\lambda_H$,0.65,52,0.8763563295378433,0.4056863344542953,0.3983491287068175
$\lambda_H$,0.9,53,0.8976557267247154,0.43486046858677807,0.42053424861960903
