split,mae,rmse,corr
train,0.12921520615664475,0.1822051997765851,0.6843034176266787
validation,0.12993730666193962,0.1832060696080865,0.6806510402805926
test,0.12949999789459912,0.18263791770479734,0.6828477685033985
