attribute_index,attribute,salience,test_mae,score
10,stripes,0.0250030271708965,0.1045264704812237,0.201518867277751
20,hooves,0.0359132587909698,0.1527720631801686,0.2078411211165443
36,swims,0.0317952632904052,0.0895600453237422,0.288209368006865
22,paws,0.0451002195477485,0.1797368365965046,0.2276827098092135
24,longneck,0.0198550503700971,0.0988865513131186,0.1660881488908625
58,hunter,0.0369474031031131,0.1593189585836564,0.2037501836942588
73,ocean,0.0322846211493015,0.0722376149216007,0.3456810876527567
45,quadrapedal,0.0299155320972204,0.1111765394988402,0.2246982812278859
75,water,0.033496294170618,0.0822375718598005,0.3254794917548685
18,flippers,0.0305202659219503,0.0727754201183049,0.322541694523148
19,hands,0.0254519097506999,0.0745879783131061,0.2710094267819796
53,plankton,0.0164213087409734,0.0427372624983563,0.2573540426008401
60,skimmer,0.0160695631057024,0.043695588211245,0.2464472327365067
15,small,0.0335252545773983,0.1209601381778065,0.2383885719168891
71,jungle,0.0334164686501026,0.1271203983937418,0.2267402339429977
7,yellow,0.0269354153424501,0.0990403752192432,0.2251875771583419
11,furry,0.0349565483629703,0.1364739288405995,0.2245854145752786
13,toughskin,0.0304256659001112,0.115749307042157,0.2243547704277144
