method,threshold_count,rule_count,coverage,abstention,accuracy_all,accuracy_covered,macro_f1_covered,covered_fidelity_to_base,all_object_fidelity_to_base,mean_rule_length,conflict_rate
WEDD,54,54,0.8640321500334897,0.1359678499665103,0.351908908238446,0.4072868217054263,0.3202575105323407,0.3829457364341085,0.3308774279973208,4.037037037037037,0.1354320160750167
MDLP-like entropy,54,53,0.8713998660415271,0.1286001339584729,0.3927662424648359,0.4507302075326672,0.3504278275043938,0.4556495003843197,0.397052913596785,4.056603773584905,0.1125251172136637
Equal frequency,36,52,0.7473543201607502,0.2526456798392498,0.232417950435365,0.3109876321921491,0.1973529777649708,0.3126008245205234,0.2336235766912257,4.288461538461538,0.2506363027461487
Equal width,36,61,0.582987273945077,0.417012726054923,0.2521098459477562,0.4324448529411764,0.2375062136293039,0.4749540441176471,0.2768921634293369,3.672131147540984,0.4170127260549229
