Split,Top-1,Top-5,Macro-F1,Weighted-F1,AUROC,ECE
Validation,0.7092711682743837,0.9306002143622722,0.5398500694055248,0.6638548941088056,0.9832366244966703,0.662183941127323
Test,0.7115874079035499,0.9291359678499665,0.5434248769511797,0.6680753558869329,0.9835814746800773,0.6645294139824174
