Baseline,MAE,RMSE,Concept corr.,Score/Top-1,Overlap/Top-5,Macro-F1/Sensitivity
Frozen-feature CBM,0.10756219753375405,0.15732655997826175,0.7759178439637273,0.7232417950435365,0.9361018084393838,0.5507723193853752
TCAV at released representation layer,,,,0.4849870825758301,1.0,-0.002053303442141057
