Method,n,Mean rule length,Top-k agreement,Direction agreement,Rank correlation,95\% CI
LIME-style,1000,3.938,0.26098333333333334,0.5907166666666667,0.022236010011316646,"[0.2468, 0.2745]"
SHAP-style,1000,3.938,0.3213,0.6070999999999999,0.12708975594947838,"[0.3050, 0.3386]"
