attribute_index,attribute,val_mae,test_mae,salience,score
0,black,0.1867339382910181,0.1845548543090619,0.0274517964571714,0.1327880496260257
1,white,0.1792304546491581,0.1787229366516441,0.0322768464684486,0.162007593293343
2,blue,0.0529530999800439,0.0520037076907021,0.0145511208102107,0.1994585674109958
3,brown,0.1699304802714831,0.1683099049295762,0.0302329864352941,0.1591792238511674
4,gray,0.1660194030434405,0.1647695915593921,0.0319005288183689,0.1714903300217519
5,orange,0.093597995152718,0.0925454362604593,0.0180793236941099,0.1591517849395543
6,red,0.0537804583734415,0.0532845253283116,0.0065570455044507,0.088872387743407
7,yellow,0.0996132383604374,0.0990403752192432,0.0269354153424501,0.2251875771583419
8,patches,0.1398997861464706,0.138097233609493,0.0222227461636066,0.1389792112870637
9,spots,0.1217820302998251,0.1211477715933245,0.0238995961844921,0.1685657634747637
10,stripes,0.104072884631865,0.1045264704812237,0.0250030271708965,0.201518867277751
11,furry,0.135649236746197,0.1364739288405995,0.0349565483629703,0.2245854145752786
12,hairless,0.13299154707147,0.1324052497673256,0.0330900996923446,0.2162871107963018
13,toughskin,0.1156140805123381,0.115749307042157,0.0304256659001112,0.2243547704277144
14,big,0.1674654890852922,0.1665286577659804,0.0358598977327346,0.1912879960344023
15,small,0.1206328093155674,0.1209601381778065,0.0335252545773983,0.2383885719168891
16,bulbous,0.1503531728766853,0.1517410061369309,0.0270345918834209,0.1586973193800778
17,lean,0.1492673487665458,0.1504203373004267,0.0342553853988647,0.2023744428472729
18,flippers,0.0746242499502958,0.0727754201183049,0.0305202659219503,0.322541694523148
19,hands,0.0739152193077602,0.0745879783131061,0.0254519097506999,0.2710094267819796
20,hooves,0.1527918835216056,0.1527720631801686,0.0359132587909698,0.2078411211165443
21,pads,0.1670618021542135,0.1683856889555336,0.0308327116072177,0.1648263368156762
22,paws,0.1780836383471553,0.1797368365965046,0.0451002195477485,0.2276827098092135
23,longleg,0.1440748347404801,0.1427082394302442,0.0309503506869077,0.1886355743454652
24,longneck,0.0995452565561677,0.0988865513131186,0.0198550503700971,0.1660881488908625
25,tail,0.1837871214142755,0.1832550933930103,0.0265714321285486,0.1303881812753613
26,chewteeth,0.1296534925208853,0.1285359451293292,0.0192482620477676,0.1286188629716168
27,meatteeth,0.1652788602045344,0.1642129763816706,0.040053553879261,0.2161798374355542
28,buckteeth,0.1108225393300406,0.1106206155805638,0.0250275339931249,0.1913090368165473
29,strainteeth,0.05577434373918,0.0562869218386004,0.0136796915903687,0.1805319705236258
30,horns,0.1451067173600566,0.1449957834712852,0.0266608465462923,0.1614764497325183
31,claws,0.1491648392309631,0.1495447601008884,0.0377993024885654,0.2234465664401899
32,tusks,0.0621149825783403,0.0625498882085811,0.0093498136848211,0.1138624571453949
33,smelly,0.0886254505436296,0.0882548726289494,0.0134713854640722,0.1240168431675357
34,flys,0.0362037471274076,0.0360989285594814,0.0051356721669435,0.0913759745467068
35,hops,0.0679618865544732,0.0682575145754352,0.0184322278946638,0.2095478918957594
36,swims,0.0903200201655066,0.0895600453237422,0.0317952632904052,0.288209368006865
37,tunnels,0.0323578619996125,0.0326175038192658,0.0106201386079192,0.2028375147938202
38,walks,0.1325246109203019,0.1291781863399656,0.0338458865880966,0.2219044283009643
39,fast,0.1996672725841897,0.1998036865554333,0.0265227425843477,0.1207405284926211
40,slow,0.1900782107751452,0.1897962024509475,0.0250560883432626,0.1192702862939039
41,strong,0.1529865957885872,0.1522205488123823,0.0314770750701427,0.1819625094455985
42,weak,0.1201639975094295,0.1209928468489472,0.0243349503725767,0.1736176964483306
43,muscle,0.1295591867751953,0.1277782927533327,0.0243261251598596,0.1626521625610644
44,bipedal,0.1225172734072952,0.1226389958878813,0.0299691949039697,0.2102846496250445
45,quadrapedal,0.1131364527300522,0.1111765394988402,0.0299155320972204,0.2246982812278859
46,active,0.1814515433393889,0.1803829011366416,0.0265356097370386,0.131722047382549
47,inactive,0.2406838889784701,0.2383787076752636,0.0292789638042449,0.1123159698091781
48,nocturnal,0.090066932091525,0.0907802406474246,0.0122962603345513,0.1117162085005377
49,hibernate,0.1080929191753713,0.1088055073183444,0.0210658591240644,0.1644576394985837
50,agility,0.1749143401628213,0.1762316338056798,0.0285442005842924,0.1464448462870821
51,fish,0.1154464499110673,0.1155604328245388,0.0293508674949407,0.2166972077467679
52,meat,0.1635727565042367,0.1620059392031596,0.0411847494542598,0.2243510978346581
53,plankton,0.043808240877114,0.0427372624983563,0.0164213087409734,0.2573540426008401
54,vegetation,0.1924847893778011,0.1913976026175825,0.0440185666084289,0.2071610242658983
55,insects,0.0732591559216405,0.0745028740131227,0.015137031674385,0.1623114805703765
56,forager,0.1240515323337728,0.1229483951319097,0.0231288708746433,0.1605597004067465
57,grazer,0.1772095824434898,0.1769184424008848,0.041847500950098,0.2121981114284312
58,hunter,0.1613367842580957,0.1593189585836564,0.0369474031031131,0.2037501836942588
59,scavenger,0.083185147300752,0.0827677287747383,0.0122797721996903,0.1190071683853751
60,skimmer,0.0452048835252431,0.043695588211245,0.0160695631057024,0.2464472327365067
61,stalker,0.1397929740699442,0.1382708354813818,0.0336908772587776,0.2108407923118729
62,newworld,0.1632647800950961,0.1617591941622437,0.0326728485524654,0.1782822020440124
63,oldworld,0.1415553008523615,0.1409273219302056,0.0248930379748344,0.154083696687756
64,arctic,0.0981361399678524,0.0981758976374848,0.0230038650333881,0.1947233508700049
65,coastal,0.1078209832278008,0.1071378981157241,0.0226381849497556,0.1771085183205812
66,desert,0.1601012352677599,0.1568725324692549,0.0206984858959913,0.1149269513072383
67,bush,0.1374594637749208,0.136346040869987,0.0269808676093816,0.1713511970798354
68,plains,0.1391366848935989,0.1393308165808135,0.0286749899387359,0.1801909469077383
69,forest,0.1688683809878581,0.1691689247708064,0.0310980267822742,0.1646544891189248
70,fields,0.1657351451934642,0.1661783004057869,0.0367307364940643,0.1977586765057582
71,jungle,0.1273777638357005,0.1271203983937418,0.0334164686501026,0.2267402339429977
72,mountains,0.1387443021046861,0.1393523918671019,0.0165775269269943,0.1044291146655584
73,ocean,0.0733942361976483,0.0722376149216007,0.0322846211493015,0.3456810876527567
74,ground,0.1178187209486181,0.1185786500195404,0.0267100911587476,0.1938059718948182
75,water,0.0829136858670206,0.0822375718598005,0.033496294170618,0.3254794917548685
76,tree,0.1152656782455162,0.1165232375375446,0.0293268207460641,0.2168090318730671
77,cave,0.0748821228530214,0.0747338704871012,0.0113949812948703,0.1200961883254018
78,fierce,0.1751440541124655,0.1746684844486742,0.0330551527440547,0.1693884699402854
79,timid,0.1913055815578624,0.1901866912805592,0.0296007301658391,0.1400849421373829
80,smart,0.1414027751411053,0.1385043476656785,0.0278035439550876,0.1722618705333944
81,group,0.1775359423839393,0.1774163220661701,0.0236497242003679,0.119723650870591
82,solitary,0.1829782928727112,0.1828640936736082,0.0288036558777093,0.141905104580677
83,nestspot,0.1630799517630851,0.1634450882928994,0.0245696697384119,0.1342018582690382
84,domestic,0.1786981224392597,0.1795207225314903,0.0358723513782024,0.1805369418584631
