dataset,seed,method,n_components,q,train_objects,validation_objects,test_objects,fit_seconds,total_seconds,explained_variance_ratio_sum,selected_ridge_alpha,train_mae,train_rmse,train_semantic_correlation_mean,val_mae,val_rmse,val_semantic_correlation_mean,test_mae,test_rmse,test_semantic_correlation_mean,coverage,abstention_rate,conflict_rate,fallback_rate,exact_rate,covered_accuracy,covered_macro_f1,all_object_accuracy,rule_count,granule_count,mean_rule_length,mean_rule_confidence,threshold_count,covered_fidelity_to_base,all_object_fidelity_to_base
AwA2,42,WEDD,64,18,22393,7464,7465,8.059142351150513,8.101096391677856,0.5297772884368896,0.01,0.10247726288352042,0.14773868688607275,0.809210757829809,0.10327210749514823,0.149135384653701,0.8049736574363922,0.1031408203092262,0.14870332292783045,0.8060291850828324,0.8468854655056932,0.1531145344943068,0.13784326858673812,0.09296718017414601,0.9070328198258539,0.4054096804808605,0.31743348853408354,0.3433355659745479,57,15334,3.9649122807017543,0.42183809248110105,54,0.4109459031951914,0.3480241125251172
AwA2,42,MDLP-like entropy,64,18,22393,7464,7465,8.191505670547485,8.213651180267334,0.5297772884368896,0.01,0.10247726288352042,0.14773868688607275,0.809210757829809,0.10327210749514823,0.149135384653701,0.8049736574363922,0.1031408203092262,0.14870332292783045,0.8060291850828324,0.8655056932350971,0.13449430676490293,0.115874079035499,0.09792364367046216,0.9020763563295379,0.39529484599907133,0.30843248654656596,0.3421299397186872,55,16391,4.036363636363636,0.38568885252999796,54,0.40210493731620495,0.3480241125251172
AwA2,42,Equal frequency,64,18,22393,7464,7465,5.269070625305176,5.295289993286133,0.5297772884368896,0.01,0.10247726288352042,0.14773868688607275,0.809210757829809,0.10327210749514823,0.149135384653701,0.8049736574363922,0.1031408203092262,0.14870332292783045,0.8060291850828324,0.6342933690555927,0.36570663094440725,0.3640991292699263,0.04943067649028801,0.950569323509712,0.3271383315733897,0.18229299754393327,0.20750167448091092,51,16944,4.235294117647059,0.21311290342584213,36,0.3322069693769799,0.21071667782987274
AwA2,42,Equal width,64,18,22393,7464,7465,5.286911964416504,5.312617778778076,0.5297772884368896,0.01,0.10247726288352042,0.14773868688607275,0.809210757829809,0.10327210749514823,0.149135384653701,0.8049736574363922,0.1031408203092262,0.14870332292783045,0.8060291850828324,0.6085733422638981,0.39142665773610186,0.3914266577361018,0.0005358338914936369,0.9994641661085064,0.48866387849438697,0.27294243909764976,0.2973878097789685,71,1832,3.6338028169014085,0.5022836748049314,36,0.48382126348228044,0.2944407233757535
AwA2,43,WEDD,64,18,22393,7464,7465,6.774297475814819,6.802765846252441,0.5294711589813232,0.01,0.10246599693986443,0.14792103506956783,0.8082726733013373,0.10268451893510583,0.14820870383628126,0.8081321311166281,0.10351256968159363,0.14929019973072488,0.8050347532266441,0.8257200267916945,0.17427997320830546,0.15847287340924313,0.11105157401205626,0.8889484259879438,0.3823815704088254,0.28381135397293805,0.31574012056262557,61,13869,4.016393442622951,0.4402194570002294,54,0.39487345879299157,0.3260549229738781
AwA2,43,MDLP-like entropy,64,18,22393,7464,7465,7.057994365692139,7.079267263412476,0.5294711589813232,0.01,0.10246599693986443,0.14792103506956783,0.8082726733013373,0.10268451893510583,0.14820870383628126,0.8081321311166281,0.10351256968159363,0.14929019973072488,0.8050347532266441,0.8101808439383791,0.18981915606162092,0.16865371734762225,0.09899531145344943,0.9010046885465506,0.3955026455026455,0.30936075179097067,0.3204286671131949,60,14935,3.9,0.4312598888531674,54,0.40591931216931215,0.32886805090421967
AwA2,43,Equal frequency,64,18,22393,7464,7465,5.438733816146851,5.47117018699646,0.5294711589813232,0.01,0.10246599693986443,0.14792103506956783,0.8082726733013373,0.10268451893510583,0.14820870383628126,0.8081321311166281,0.10351256968159363,0.14929019973072488,0.8050347532266441,0.6506363027461487,0.3493636972538513,0.3478901540522438,0.05706630944407234,0.9429336905559277,0.2730080296479308,0.16281124928700386,0.17762893503014066,52,17239,4.326923076923077,0.2222625844056964,36,0.2900967675519868,0.18874748827863363
AwA2,43,Equal width,64,18,22393,7464,7465,5.157493352890015,5.18004584312439,0.5294711589813232,0.01,0.10246599693986443,0.14792103506956783,0.8082726733013373,0.10268451893510583,0.14820870383628126,0.8081321311166281,0.10351256968159363,0.14929019973072488,0.8050347532266441,0.6719356999330207,0.3280643000669793,0.32806430006697923,0.0,1.0,0.40410685805422647,0.24884650789569845,0.27153382451440056,67,1468,3.7313432835820897,0.48793790186013974,36,0.40410685805422647,0.27153382451440056
AwA2,44,WEDD,64,18,22393,7464,7465,7.252838373184204,7.2757813930511475,0.5291149616241455,0.01,0.10272531859559624,0.1483607984100631,0.8076564689931406,0.10298156819904328,0.1484478110692775,0.8073885988256587,0.10207483972659373,0.14742212881592046,0.8099069703139593,0.8925653047555258,0.10743469524447424,0.09390488948425987,0.10368385800401875,0.8963161419959812,0.40507279003451896,0.3343494232375439,0.36155391828533157,56,15272,4.053571428571429,0.4333872612096265,54,0.4070238631247186,0.3632953784326859
AwA2,44,MDLP-like entropy,64,18,22393,7464,7465,7.497419834136963,7.532030344009399,0.5291149616241455,0.01,0.10272531859559624,0.1483607984100631,0.8076564689931406,0.10298156819904328,0.1484478110692775,0.8073885988256587,0.10207483972659373,0.14742212881592046,0.8099069703139593,0.8676490288010716,0.13235097119892836,0.11694574681848627,0.11239115874079035,0.8876088412592097,0.41562451752354485,0.3246496326323488,0.3606162089752177,55,16369,3.8727272727272726,0.39294186680029686,54,0.4218002161494519,0.36597454789015404
