dataset,protocol,seed,train_objects,validation_objects,test_unseen_objects,test_unseen_classes,mae_unseen,prototype_unseen_accuracy,prototype_unseen_macro_f1,symbolic_template_unseen_accuracy,symbolic_template_unseen_macro_f1,symbolic_template_mean_hamming,seconds
AwA2,official_xlsa17_semantic_validation,42,16187,7340,7913,10,0.18861158117113913,0.4454694806015418,0.3799049098537149,0.22052318968785542,0.19094150069038326,0.37514217111083026,2.363511562347412
AwA2,official_xlsa17_semantic_validation,43,16187,7340,7913,10,0.18865507043486637,0.422216605585745,0.3710460428946786,0.23771009730822698,0.18938661503273457,0.35731637109117204,3.8130545616149902
AwA2,official_xlsa17_semantic_validation,44,16187,7340,7913,10,0.18880213739263674,0.4339694174143814,0.3790521132894218,0.2248199165929483,0.19345129039891576,0.3646320401027844,2.7491297721862793
AwA2,official_xlsa17_semantic_validation,45,16187,7340,7913,10,0.18945352889624129,0.4533046884872994,0.38863058094558406,0.228105648932137,0.1987199005111214,0.37177218922448296,3.305666208267212
AwA2,official_xlsa17_semantic_validation,46,16187,7340,7913,10,0.18837696625211076,0.44597497788449386,0.3849640404422684,0.26298496145583217,0.2183522320632491,0.3882008509204263,2.842210292816162
