method,n_seeds,coverage_mean,coverage_sd,covered_accuracy_mean,covered_accuracy_sd,covered_fidelity_to_base_mean,covered_fidelity_to_base_sd,all_object_accuracy_mean,all_object_accuracy_sd,conflict_rate_mean,conflict_rate_sd,abstention_rate_mean,abstention_rate_sd,rule_count_mean,rule_count_sd,mean_rule_length_mean,mean_rule_length_sd
Equal frequency,5,0.7211520428667113,0.0783521149644787,0.29990838083335525,0.019988852551351705,0.30874965057566983,0.015055499545639084,0.2161018084393838,0.02511201553712825,0.27726724715338247,0.07836263812037891,0.27884795713328864,0.0783521149644787,50.6,0.8944271909999159,4.232443438914027,0.10209341133646264
Equal width,5,0.6401071667782986,0.0534183325204218,0.4532400539066474,0.04837486371465627,0.4534966293079985,0.04693132498020984,0.288251841929002,0.013840380413516857,0.3598928332217013,0.05341833252042181,0.3598928332217013,0.0534183325204218,66.8,2.9495762407505253,3.6730292200967,0.06317759666791382
MDLP-like entropy,5,0.833436034829203,0.04171474158354531,0.3911805700962544,0.019290652958729275,0.39751675800430275,0.01936762434176467,0.3261352980576021,0.025149182602213764,0.1481848626925653,0.04127903769346795,0.16656396517079708,0.04171474158354531,56.0,2.23606797749979,4.00909090909091,0.11748043621200081
WEDD,5,0.8480107166778298,0.05300022582981353,0.39729287622385573,0.010925743957305565,0.4048344197979127,0.007828988248421768,0.3372538513060951,0.028537808298886285,0.13752176825184192,0.05318384192527961,0.15198928332217015,0.05300022582981353,59.0,2.5495097567963922,4.039725567065941,0.054341029427265264
