rule_id,antecedent,antecedent_text,consequent,consequent_name,support,confidence,coverage,conflict_count,antecedent_length,original_antecedent_length,source,covered_indices_sample
R0018,"{'7': 1, '8': 1, '14': 0, '17': 0}",hairless=s1 AND yellow=s1 AND vegetation=s0 AND hunter=s0,4,dalmatian,115,0.6956521739130435,0.005135533425624079,35,4,7,semantic_prototype,"[65, 123, 157, 244, 468, 560, 695, 1169, 1187, 1359, 1624, 1688, 1723, 1865, 1938, 2434, 2812, 3128, 3210, 3231]"
R0019,"{'3': 2, '12': 2, '15': 2}",ocean=s2 AND water=s2 AND bipedal=s2,44,polar bear,341,0.6803519061583577,0.015227973027285312,109,3,3,semantic_prototype,"[19, 57, 87, 104, 127, 139, 162, 189, 219, 245, 278, 351, 494, 509, 524, 553, 595, 600, 828, 831]"
R0020,"{'7': 3, '14': 2, '16': 0}",hairless=s3 AND vegetation=s2 AND tree=s0,18,elephant,554,0.6642599277978339,0.02473987406778904,186,3,3,semantic_prototype,"[68, 128, 141, 197, 238, 305, 335, 377, 451, 478, 504, 563, 596, 603, 663, 701, 724, 856, 857, 871]"
R0021,"{'5': 0, '7': 3, '12': 2}",paws=s0 AND hairless=s3 AND water=s2,13,hippopotamus,200,0.66,0.008931362479346224,68,3,6,semantic_prototype,"[94, 95, 162, 221, 504, 701, 724, 788, 904, 1170, 1239, 1276, 1427, 1434, 1477, 1529, 1645, 1664, 1738, 1751]"
R0022,"{'0': 2, '8': 0}",stripes=s2 AND yellow=s0,10,skunk,95,0.6526315789473685,0.004242397177689456,33,2,5,semantic_prototype,"[15, 142, 362, 473, 1026, 1073, 1509, 1546, 2188, 2555, 3223, 3801, 3835, 3948, 4776, 4917, 4974, 5059, 5078, 5161]"
R0023,"{'6': 2, '9': 2, '12': 3}",flippers=s2 AND claws=s2 AND water=s3,35,otter,257,0.642023346303502,0.011476800785959898,92,3,6,semantic_prototype,"[79, 180, 250, 260, 315, 386, 458, 501, 693, 703, 898, 955, 1050, 1163, 1362, 1394, 1444, 1452, 1552, 1572]"
R0024,"{'11': 3, '13': 3, '15': 3, '16': 3}",jungle=s3 AND hands=s3 AND bipedal=s3 AND tree=s3,19,gorilla,917,0.52453653217012,0.04095029696780244,436,4,4,semantic_prototype,"[17, 21, 34, 45, 62, 63, 108, 132, 168, 232, 257, 263, 356, 357, 415, 425, 471, 499, 510, 520]"
R0025,"{'6': 0, '7': 0, '11': 0, '17': 3}",flippers=s0 AND hairless=s0 AND jungle=s0 AND hunter=s3,31,wolf,420,0.46190476190476193,0.018755861206627072,226,4,4,semantic_prototype,"[10, 18, 27, 33, 72, 90, 181, 292, 414, 433, 581, 626, 630, 653, 717, 731, 732, 751, 761, 842]"
R0026,"{'3': 3, '6': 3, '7': 3, '12': 3}",ocean=s3 AND flippers=s3 AND hairless=s3 AND water=s3,49,dolphin,1371,0.37199124726477023,0.061224489795918366,861,4,4,semantic_prototype,"[43, 67, 115, 164, 172, 195, 211, 240, 255, 281, 291, 309, 326, 348, 405, 418, 424, 445, 449, 454]"
R0027,"{'11': 3, '13': 3, '15': 3, '16': 3}",jungle=s3 AND hands=s3 AND bipedal=s3 AND tree=s3,24,chimpanzee,917,0.3707742639040349,0.04095029696780244,577,4,4,semantic_prototype,"[17, 21, 34, 45, 62, 63, 108, 132, 168, 232, 257, 263, 356, 357, 415, 425, 471, 499, 510, 520]"
R0028,"{'5': 0, '7': 2, '14': 2, '17': 0}",paws=s0 AND hairless=s2 AND vegetation=s2 AND hunter=s0,27,rhinoceros,521,0.28982725527831094,0.023266199258696916,370,4,4,semantic_prototype,"[12, 25, 36, 60, 109, 118, 148, 196, 200, 235, 251, 338, 420, 442, 522, 534, 540, 636, 697, 698]"
R0029,"{'3': 3, '6': 3, '7': 3, '12': 3}",ocean=s3 AND flippers=s3 AND hairless=s3 AND water=s3,17,humpback whale,1371,0.2786287381473377,0.061224489795918366,989,4,4,semantic_prototype,"[43, 67, 115, 164, 172, 195, 211, 240, 255, 281, 291, 309, 326, 348, 405, 418, 424, 445, 449, 454]"
R0030,"{'1': 0, '9': 2, '10': 2, '11': 0}",hooves=s0 AND claws=s2 AND hops=s2 AND jungle=s0,25,hamster,813,0.26199261992619927,0.036305988478542404,600,4,4,semantic_prototype,"[23, 32, 46, 80, 91, 112, 123, 312, 340, 345, 376, 379, 396, 400, 406, 408, 417, 439, 456, 476]"
R0031,"{'3': 3, '4': 0, '6': 3, '12': 3}",ocean=s3 AND grazer=s0 AND flippers=s3 AND water=s3,23,seal,1573,0.2574698029243484,0.07024516590005805,1168,4,4,semantic_prototype,"[43, 67, 115, 164, 172, 195, 211, 218, 240, 255, 281, 291, 309, 326, 348, 370, 405, 409, 418, 424]"
R0032,"{'0': 0, '1': 0, '7': 0, '15': 2}",stripes=s0 AND hooves=s0 AND hairless=s0 AND bipedal=s2,1,grizzly bear,959,0.2523461939520334,0.04282588308846515,717,4,4,semantic_prototype,"[19, 22, 57, 87, 89, 104, 127, 135, 189, 219, 230, 245, 253, 278, 288, 307, 319, 346, 351, 361]"
R0033,"{'1': 3, '4': 3, '9': 0, '17': 0}",hooves=s3 AND grazer=s3 AND claws=s0 AND hunter=s0,6,horse,3067,0.21845451581349853,0.13696244362077434,2397,4,4,semantic_prototype,"[3, 7, 20, 31, 50, 59, 64, 70, 73, 74, 81, 88, 101, 105, 106, 109, 110, 113, 114, 118]"
R0034,"{'0': 0, '1': 2, '5': 0, '16': 0}",stripes=s0 AND hooves=s2 AND paws=s0 AND tree=s0,36,buffalo,1283,0.2112236944660951,0.05729469030500603,1012,4,4,semantic_prototype,"[8, 9, 25, 42, 60, 84, 122, 133, 158, 160, 170, 196, 213, 224, 227, 235, 262, 275, 285, 317]"
