metric,n_pairs,paired_mean_difference_wedd_minus_mdlp,paired_sd_difference,standardized_paired_effect
coverage,5,0.014574681848626935,0.07726010066788055,0.18864435488221007
covered_accuracy,5,0.006112306127601263,0.01741754264358916,0.3509281563235333
covered_fidelity_to_base,5,0.007317661793609908,0.019916624704315763,0.36741475537389795
all_object_accuracy,5,0.011118553248492957,0.03134528081018205,0.35471219147225697
conflict_rate,5,-0.010663094440723386,0.07838262707970454,-0.13603900300356683
abstention_rate,5,-0.014574681848626935,0.07726010066788055,-0.18864435488221007
