dataset,phase,count,mean,sum
AwA2,protocol_a_Equal frequency,5,5.453289556503296,27.26644778251648
AwA2,protocol_a_Equal width,5,5.315644359588623,26.578221797943115
AwA2,protocol_a_MDLP-like entropy,5,7.3224170207977295,36.61208510398865
AwA2,protocol_a_WEDD,5,7.194942235946655,35.974711179733276
AwA2,protocol_b_semantic_validation,5,3.014714479446411,15.073572397232056
AwA2,q_sensitivity,5,6.970355796813965,34.851778984069824
AwA2,svd_rank_sensitivity,4,7.081434845924377,28.32573938369751
Derm7pt,q_sensitivity,3,0.08963934580485027,0.2689180374145508
Derm7pt,transition_and_rulebook,1,7.797166347503662,7.797166347503662
SUN,q_sensitivity,6,22.004464427630108,132.02678656578064
SUN,transition_and_rulebook,1,11.561664819717407,11.561664819717407
