concept,concept_value,group,n_cases,n,coverage,abstention_rate,conflict_rate,all_object_accuracy,all_object_fidelity_to_base,covered_accuracy,covered_fidelity_to_base
pigment_network,absent,pigment_network=absent,156,156.0,0.9871794871794872,0.01282051282051282,0.0,0.4935897435897436,0.7051282051282052,0.5,0.7142857142857143
pigment_network,atypical,pigment_network=atypical,93,93.0,1.0,0.0,0.0,0.41935483870967744,0.6021505376344086,0.41935483870967744,0.6021505376344086
pigment_network,typical,pigment_network=typical,146,146.0,0.9863013698630136,0.0136986301369863,0.0,0.7397260273972602,0.8493150684931506,0.75,0.8611111111111112
streaks,absent,streaks=absent,257,257.0,0.9844357976653697,0.01556420233463035,0.0,0.5758754863813229,0.7392996108949417,0.5849802371541502,0.7509881422924901
streaks,irregular,streaks=irregular,94,94.0,1.0,0.0,0.0,0.40425531914893614,0.6382978723404256,0.40425531914893614,0.6382978723404256
streaks,regular,streaks=regular,44,44.0,1.0,0.0,0.0,0.8636363636363636,0.9090909090909091,0.8636363636363636,0.9090909090909091
pigmentation,absent,pigmentation=absent,223,223.0,0.9955156950672646,0.004484304932735426,0.0,0.6278026905829597,0.7623318385650224,0.6306306306306306,0.7657657657657657
pigmentation,diffuse irregular,pigmentation=diffuse irregular,108,108.0,0.9907407407407407,0.009259259259259259,0.0,0.4444444444444444,0.6111111111111112,0.4485981308411215,0.616822429906542
pigmentation,diffuse regular,pigmentation=diffuse regular,45,45.0,0.9777777777777777,0.022222222222222223,0.0,0.6,0.9111111111111111,0.6136363636363636,0.9318181818181818
pigmentation,localized irregular,pigmentation=localized irregular,16,16.0,0.9375,0.0625,0.0,0.4375,0.625,0.4666666666666667,0.6666666666666666
pigmentation,localized regular,pigmentation=localized regular,3,3.0,1.0,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666,1.0
regression_structures,absent,regression_structures=absent,289,289.0,0.9930795847750865,0.006920415224913495,0.0,0.5778546712802768,0.7785467128027682,0.5818815331010453,0.7839721254355401
regression_structures,blue areas,regression_structures=blue areas,48,48.0,0.9583333333333334,0.041666666666666664,0.0,0.5833333333333334,0.6666666666666666,0.6086956521739131,0.6956521739130435
regression_structures,combinations,regression_structures=combinations,43,43.0,1.0,0.0,0.0,0.46511627906976744,0.5348837209302325,0.46511627906976744,0.5348837209302325
regression_structures,white areas,regression_structures=white areas,15,15.0,1.0,0.0,0.0,0.6,0.6666666666666666,0.6,0.6666666666666666
dots_and_globules,absent,dots_and_globules=absent,100,100.0,0.98,0.02,0.0,0.4,0.73,0.40816326530612246,0.7448979591836735
dots_and_globules,irregular,dots_and_globules=irregular,177,177.0,0.9943502824858758,0.005649717514124294,0.0,0.4915254237288136,0.655367231638418,0.4943181818181818,0.6590909090909091
dots_and_globules,regular,dots_and_globules=regular,118,118.0,0.9915254237288136,0.00847457627118644,0.0,0.8220338983050848,0.8559322033898306,0.8290598290598291,0.8632478632478633
blue_whitish_veil,absent,blue_whitish_veil=absent,320,320.0,0.990625,0.009375,0.0,0.603125,0.753125,0.6088328075709779,0.7602523659305994
blue_whitish_veil,present,blue_whitish_veil=present,75,75.0,0.9866666666666667,0.013333333333333334,0.0,0.41333333333333333,0.6533333333333333,0.4189189189189189,0.6621621621621622
vascular_structures,absent,vascular_structures=absent,313,313.0,0.9904153354632588,0.009584664536741214,0.0,0.6070287539936102,0.7795527156549521,0.6129032258064516,0.7870967741935484
vascular_structures,arborizing,vascular_structures=arborizing,13,13.0,1.0,0.0,0.0,0.23076923076923078,0.5384615384615384,0.23076923076923078,0.5384615384615384
vascular_structures,comma,vascular_structures=comma,11,11.0,1.0,0.0,0.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
vascular_structures,dotted,vascular_structures=dotted,22,22.0,0.9545454545454546,0.045454545454545456,0.0,0.4090909090909091,0.6363636363636364,0.42857142857142855,0.6666666666666666
vascular_structures,hairpin,vascular_structures=hairpin,8,8.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5
vascular_structures,linear irregular,vascular_structures=linear irregular,8,8.0,1.0,0.0,0.0,0.25,0.625,0.25,0.625
vascular_structures,within regression,vascular_structures=within regression,20,20.0,1.0,0.0,0.0,0.5,0.3,0.5,0.3
