concept,n_encoded_categories,missing_value_category_present,test_mae,test_rmse
pigment_network,3,False,0.3143271561664871,0.36823083305091653
streaks,3,False,0.24781718791662893,0.3065952655971688
pigmentation,5,False,0.21495541795019357,0.27934763442196997
regression_structures,4,False,0.18238506093935622,0.25240646059508975
dots_and_globules,3,False,0.2938587967353531,0.3618456509691542
blue_whitish_veil,2,False,0.25886047462685197,0.35632966317670833
vascular_structures,8,False,0.13900539945090226,0.21704681599175074
