group,n_cases,n,coverage,abstention_rate,conflict_rate,all_object_accuracy,all_object_fidelity_to_base,covered_accuracy,covered_fidelity_to_base
basal_cell_carcinoma,16,16.0,1.0,0.0,0.0,0.3125,0.3125,0.3125,0.3125
dermatofibroma,7,7.0,1.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.8571428571428571
melanoma,101,101.0,0.9801980198019802,0.019801980198019802,0.0,0.22772277227722773,0.5445544554455446,0.23232323232323232,0.5555555555555556
nevus,219,219.0,0.9954337899543378,0.0045662100456621,0.0,0.8949771689497716,0.8584474885844748,0.8990825688073395,0.8623853211009175
other,20,20.0,1.0,0.0,0.0,0.0,0.7,0.0,0.7
seborrheic_keratosis,19,19.0,1.0,0.0,0.0,0.0,0.6842105263157895,0.0,0.6842105263157895
vascular_lesion,13,13.0,0.9230769230769231,0.07692307692307693,0.0,0.0,0.6923076923076923,0.0,0.75
