dataset,seed,method,scope,coverage,abstention_rate,conflict_rate,fallback_rate,exact_rate,covered_accuracy,covered_macro_f1,all_object_accuracy,rule_count,granule_count,mean_rule_length,mean_rule_confidence,threshold_count,covered_fidelity_to_base,all_object_fidelity_to_base,seconds
SUN,42,WEDD,closed_world_seen_test,0.07596899224806201,0.924031007751938,0.9236434108527132,0.01434108527131783,0.9856589147286822,0.07142857142857142,0.0071720527534481025,0.005426356589147287,580,7248,4.008620689655173,0.026197630642971193,54,0.09183673469387756,0.0069767441860465115,10.015916585922241
SUN,42,MDLP-like entropy,closed_world_seen_test,0.060077519379844964,0.939922480620155,0.939922480620155,0.009302325581395349,0.9906976744186047,0.09032258064516129,0.004977774163820676,0.005426356589147287,580,7662,4.008620689655173,0.026344253834668763,54,0.13548387096774195,0.00813953488372093,8.581021070480347
SUN,42,Equal frequency,closed_world_seen_test,0.0011627906976744186,0.9988372093023256,0.9988372093023256,0.0,1.0,0.0,0.0,0.0,580,6414,4.001724137931035,0.011314916365612507,36,0.0,0.0,3.86685848236084
SUN,42,Equal width,closed_world_seen_test,0.034108527131782945,0.9658914728682171,0.9658914728682171,0.0,1.0,0.03409090909090909,0.0024732373569582872,0.0011627906976744186,580,859,4.008620689655173,0.01157187843712967,36,0.06818181818181818,0.002325581395348837,4.851580858230591
