concept,n_encoded_categories,missing_value_category_present,test_mae,test_rmse,threshold_count
pigment_network,3,False,0.34444874947584125,0.3949035435329655,3
streaks,3,False,0.25784160411810575,0.3204364441102141,3
pigmentation,5,False,0.21872209343854884,0.28877920732410245,2
regression_structures,4,False,0.1958084073247789,0.27058349752301564,3
dots_and_globules,3,False,0.3012544084198867,0.3669890185522077,3
blue_whitish_veil,2,False,0.23790350518649137,0.3550569414390565,3
vascular_structures,8,False,0.14715509403355514,0.23335109562864492,3
