dataset,seed,q,scope,coverage,abstention_rate,conflict_rate,fallback_rate,exact_rate,covered_accuracy,covered_macro_f1,all_object_accuracy,rule_count,granule_count,mean_rule_length,mean_rule_confidence,threshold_count,covered_fidelity_to_base,all_object_fidelity_to_base,seconds
Derm7pt,42,3,official_test_split,0.9848101265822785,0.015189873417721489,0.0,0.18734177215189873,0.8126582278481013,0.4524421593830334,0.1605762669809565,0.44556962025316454,10,38,2.2,0.401748138299001,8,0.583547557840617,0.5746835443037974,0.05929255485534668
Derm7pt,42,5,official_test_split,0.9670886075949368,0.032911392405063244,0.0,0.18734177215189873,0.8126582278481013,0.5130890052356021,0.18768320937842592,0.4962025316455696,10,142,3.1,0.5223010017186822,14,0.7146596858638743,0.6911392405063291,0.08996725082397461
Derm7pt,42,7,official_test_split,0.9240506329113924,0.07594936708860756,0.005063291139240506,0.4708860759493671,0.529113924050633,0.42191780821917807,0.18523151924806194,0.389873417721519,7,279,3.5714285714285716,0.31586001465519536,20,0.5287671232876713,0.48860759493670886,0.11965823173522949
