dataset,seed,method,n_components,q,train_objects,validation_objects,test_objects,fit_seconds,total_seconds,explained_variance_ratio_sum,selected_ridge_alpha,train_mae,train_rmse,train_semantic_correlation_mean,val_mae,val_rmse,val_semantic_correlation_mean,test_mae,test_rmse,test_semantic_correlation_mean,coverage,abstention_rate,conflict_rate,fallback_rate,exact_rate,covered_accuracy,covered_macro_f1,all_object_accuracy,rule_count,granule_count,mean_rule_length,mean_rule_confidence,threshold_count,covered_fidelity_to_base,all_object_fidelity_to_base
AwA2,42,WEDD,64,8,22393,7464,7465,5.766823053359985,5.791628360748291,0.5297772884368896,0.01,0.10247726288352042,0.14773868688607275,0.809210757829809,0.10327210749514823,0.149135384653701,0.8049736574363922,0.1031408203092262,0.14870332292783045,0.8060291850828324,0.7998660415271266,0.2001339584728734,0.1710649698593436,0.20951105157401206,0.7904889484259879,0.34215374309160945,0.24377375281486288,0.27367716008037507,59,2095,3.8983050847457625,0.4588195730715404,24,0.34349355216881594,0.27474882786336235
AwA2,42,WEDD,64,12,22393,7464,7465,5.925261497497559,5.95114541053772,0.5297772884368896,0.01,0.10247726288352042,0.14773868688607275,0.809210757829809,0.10327210749514823,0.149135384653701,0.8049736574363922,0.1031408203092262,0.14870332292783045,0.8060291850828324,0.8250502344273275,0.1749497655726725,0.1521768251841929,0.14012056262558606,0.859879437374414,0.3888618282188667,0.3019204282186787,0.32083054253181514,60,8920,4.066666666666666,0.4709528812618297,36,0.40022730962818637,0.3302076356329538
AwA2,42,WEDD,64,18,22393,7464,7465,6.789633512496948,6.811885118484497,0.5297772884368896,0.01,0.10247726288352042,0.14773868688607275,0.809210757829809,0.10327210749514823,0.149135384653701,0.8049736574363922,0.1031408203092262,0.14870332292783045,0.8060291850828324,0.8468854655056932,0.1531145344943068,0.13784326858673812,0.09296718017414601,0.9070328198258539,0.4054096804808605,0.31743348853408354,0.3433355659745479,57,15334,3.9649122807017543,0.42183809248110105,54,0.4109459031951914,0.3480241125251172
AwA2,42,WEDD,64,24,22393,7464,7465,7.550430774688721,7.576277017593384,0.5297772884368896,0.01,0.10247726288352042,0.14773868688607275,0.809210757829809,0.10327210749514823,0.149135384653701,0.8049736574363922,0.1031408203092262,0.14870332292783045,0.8060291850828324,0.83536503683858,0.16463496316142,0.13650368385800402,0.081178834561286,0.918821165438714,0.42655548428479795,0.3442521579677988,0.3563295378432686,54,17908,3.9444444444444446,0.38859092012320945,72,0.4342527261064785,0.36275954454119225
AwA2,42,WEDD,64,32,22393,7464,7465,8.68370532989502,8.720843076705933,0.5297772884368896,0.01,0.10247726288352042,0.14773868688607275,0.809210757829809,0.10327210749514823,0.149135384653701,0.8049736574363922,0.1031408203092262,0.14870332292783045,0.8060291850828324,0.8719356999330208,0.12806430006697922,0.10274614869390489,0.08278633623576691,0.9172136637642331,0.5380242740820402,0.4138594719479867,0.46912257200267915,50,21164,3.78,0.35685563910935486,96,0.5521585497004148,0.4814467515070328
