dataset,seed,method,n_components,q,train_objects,validation_objects,test_objects,fit_seconds,total_seconds,explained_variance_ratio_sum,selected_ridge_alpha,train_mae,train_rmse,train_semantic_correlation_mean,val_mae,val_rmse,val_semantic_correlation_mean,test_mae,test_rmse,test_semantic_correlation_mean,coverage,abstention_rate,conflict_rate,fallback_rate,exact_rate,covered_accuracy,covered_macro_f1,all_object_accuracy,rule_count,granule_count,mean_rule_length,mean_rule_confidence,threshold_count,covered_fidelity_to_base,all_object_fidelity_to_base
AwA2,42,WEDD,16,18,22393,7464,7465,7.418641805648804,7.443177938461304,0.2951740026473999,0.01,0.129215251394747,0.18220525603859858,0.6843034386226241,0.12993735159239309,0.18320611904707665,0.6806510515397252,0.129500052701101,0.18263799557995525,0.6828476998873052,0.9036838580040187,0.09631614199598126,0.09229738780977897,0.1737441393168118,0.8262558606831882,0.391343018084791,0.316577492499865,0.3536503683858004,56,13556,4.285714285714286,0.4398591907591228,54,0.3874888823006226,0.35016744809109174
AwA2,42,WEDD,32,18,22393,7464,7465,7.216302156448364,7.242645978927612,0.40722793340682983,0.01,0.11466506235886273,0.16336975309577134,0.7573230093240371,0.11532429583138659,0.1642693921794721,0.7541526886270328,0.1150136686328275,0.16383005570317033,0.7556312269844219,0.9023442732752847,0.09765572672471534,0.09002009377093101,0.1520428667113195,0.8479571332886805,0.36950712589073637,0.28839390047944574,0.3334226389819156,57,14702,4.052631578947368,0.40003330199474285,54,0.36683491686460806,0.33101138647019424
AwA2,42,WEDD,64,18,22393,7464,7465,6.812713384628296,6.837857484817505,0.5297772884368896,0.01,0.10247726288352042,0.14773868688607275,0.809210757829809,0.10327210749514823,0.149135384653701,0.8049736574363922,0.1031408203092262,0.14870332292783045,0.8060291850828324,0.8468854655056932,0.1531145344943068,0.13784326858673812,0.09296718017414601,0.9070328198258539,0.4054096804808605,0.31743348853408354,0.3433355659745479,57,15334,3.9649122807017543,0.42183809248110105,54,0.4109459031951914,0.3480241125251172
AwA2,42,WEDD,128,18,22393,7464,7465,6.776063680648804,6.802057981491089,0.6548573970794678,0.01,0.09322816053693331,0.13631448023416323,0.8414215402931764,0.09460084213525663,0.1384151040597453,0.8356347963722967,0.09417814958068856,0.13777541604293028,0.8373527041568529,0.7892833221701273,0.2107166778298727,0.2013395847287341,0.060415271265907566,0.9395847287340924,0.480142566191446,0.3677510913217653,0.37896851975887474,59,16764,3.847457627118644,0.4720042981472066,54,0.48981670061099797,0.3866041527126591
