dataset,seed,method,n_components,q,train_objects,validation_objects,test_objects,fit_seconds,total_seconds,explained_variance_ratio_sum,selected_ridge_alpha,train_mae,train_rmse,train_semantic_correlation_mean,val_mae,val_rmse,val_semantic_correlation_mean,test_mae,test_rmse,test_semantic_correlation_mean,coverage,abstention_rate,conflict_rate,fallback_rate,exact_rate,covered_accuracy,covered_macro_f1,all_object_accuracy,rule_count,granule_count,mean_rule_length,mean_rule_confidence,threshold_count,covered_fidelity_to_base,all_object_fidelity_to_base,confidence_threshold
AwA2,42,WEDD,64,18,22393,7464,7465,6.687527418136597,6.7088329792022705,0.5297772884368896,0.01,0.10247726288352042,0.14773868688607275,0.809210757829809,0.10327210749514823,0.149135384653701,0.8049736574363922,0.1031408203092262,0.14870332292783045,0.8060291850828324,0.8569323509711989,0.1430676490288011,0.12833221701272607,0.1073007367716008,0.8926992632283992,0.37533218696263876,0.2979269033506226,0.3216342933690556,60,15334,3.75,0.385398075131844,54,0.35969985930905113,0.3082384460817147,0.5
AwA2,42,WEDD,64,18,22393,7464,7465,5.0590879917144775,5.080460786819458,0.5297772884368896,0.01,0.10247726288352042,0.14773868688607275,0.809210757829809,0.10327210749514823,0.149135384653701,0.8049736574363922,0.1031408203092262,0.14870332292783045,0.8060291850828324,0.8636302746148694,0.1363697253851306,0.12096450100468854,0.11574012056262559,0.8842598794373744,0.36668217775709633,0.29798733057170484,0.31667782987273946,58,15334,3.9655172413793105,0.4052932147217363,54,0.34837909105010084,0.30087073007367715,0.55
AwA2,42,WEDD,64,18,22393,7464,7465,5.15529203414917,5.1763904094696045,0.5297772884368896,0.01,0.10247726288352042,0.14773868688607275,0.809210757829809,0.10327210749514823,0.149135384653701,0.8049736574363922,0.1031408203092262,0.14870332292783045,0.8060291850828324,0.8561286001339585,0.14387139986604147,0.12860013395847286,0.11386470194239785,0.8861352980576022,0.3738069159755907,0.303672226396273,0.3200267916945747,56,15334,4.089285714285714,0.4131839283859392,54,0.3558128618369582,0.30462156731413265,0.6
AwA2,42,WEDD,64,18,22393,7464,7465,5.072579383850098,5.093961238861084,0.5297772884368896,0.01,0.10247726288352042,0.14773868688607275,0.809210757829809,0.10327210749514823,0.149135384653701,0.8049736574363922,0.1031408203092262,0.14870332292783045,0.8060291850828324,0.8640321500334897,0.13596784996651035,0.1216342933690556,0.1101138647019424,0.8898861352980576,0.407906976744186,0.32031432751409866,0.3524447421299397,57,15334,3.8947368421052633,0.4297741711354421,54,0.4049612403100775,0.34989953114534494,0.65
AwA2,42,WEDD,64,18,22393,7464,7465,5.040992498397827,5.062372922897339,0.5297772884368896,0.01,0.10247726288352042,0.14773868688607275,0.809210757829809,0.10327210749514823,0.149135384653701,0.8049736574363922,0.1031408203092262,0.14870332292783045,0.8060291850828324,0.8624246483590087,0.13757535164099133,0.12350971198928332,0.09805760214333556,0.9019423978566644,0.3991922957440199,0.30913982949041985,0.34427327528466173,58,15334,4.0344827586206895,0.43049839226380965,54,0.4005902454178316,0.34547890154052247,0.7
AwA2,42,WEDD,64,18,22393,7464,7465,5.204880714416504,5.226353406906128,0.5297772884368896,0.01,0.10247726288352042,0.14773868688607275,0.809210757829809,0.10327210749514823,0.149135384653701,0.8049736574363922,0.1031408203092262,0.14870332292783045,0.8060291850828324,0.8679169457468184,0.13208305425318156,0.11788345612860013,0.09805760214333556,0.9019423978566644,0.402994289242167,0.31218435293881097,0.34976557267247155,58,15334,4.0344827586206895,0.43621666675114507,54,0.4045377373051397,0.3511051574012056,0.75
AwA2,42,WEDD,64,18,22393,7464,7465,5.077276945114136,5.099490404129028,0.5297772884368896,0.01,0.10247726288352042,0.14773868688607275,0.809210757829809,0.10327210749514823,0.149135384653701,0.8049736574363922,0.1031408203092262,0.14870332292783045,0.8060291850828324,0.838312123241795,0.16168787675820495,0.14601473543201607,0.1043536503683858,0.8956463496316142,0.4119527005433046,0.3270879221337244,0.345344943067649,56,15334,4.107142857142857,0.4386661271355877,54,0.4097155640779802,0.3434695244474213,0.8
AwA2,42,WEDD,64,18,22393,7464,7465,5.084181785583496,5.105657339096069,0.5297772884368896,0.01,0.10247726288352042,0.14773868688607275,0.809210757829809,0.10327210749514823,0.149135384653701,0.8049736574363922,0.1031408203092262,0.14870332292783045,0.8060291850828324,0.8460817146684528,0.15391828533154717,0.13837910247823174,0.09336905559276625,0.9066309444072338,0.4046865104496517,0.3171862140654998,0.342397856664434,58,15334,4.0344827586206895,0.43308686703391036,54,0.4102279924002533,0.34708640321500334,0.85
AwA2,42,WEDD,64,18,22393,7464,7465,5.077845096588135,5.099671363830566,0.5297772884368896,0.01,0.10247726288352042,0.14773868688607275,0.809210757829809,0.10327210749514823,0.149135384653701,0.8049736574363922,0.1031408203092262,0.14870332292783045,0.8060291850828324,0.8365706630944407,0.16342933690555927,0.14722036168787675,0.09176155391828533,0.9082384460817147,0.3945556445156125,0.30489084066829136,0.33007367716008035,56,15334,4.142857142857143,0.4112761647947412,54,0.4,0.3346282652377763,0.9
AwA2,42,WEDD,64,18,22393,7464,7465,5.06638503074646,5.088757276535034,0.5297772884368896,0.01,0.10247726288352042,0.14773868688607275,0.809210757829809,0.10327210749514823,0.149135384653701,0.8049736574363922,0.1031408203092262,0.14870332292783045,0.8060291850828324,0.8424648359008707,0.15753516409912927,0.14186202277294038,0.08318821165438714,0.9168117883456128,0.38622992526633804,0.2912317576105489,0.3253851306095111,56,15334,4.071428571428571,0.4048523670569322,54,0.39481634600095405,0.33261888814467516,0.95
