scene_category,scene_leaf_examples,n_objects,n_classes,n,coverage,abstention_rate,conflict_rate,all_object_accuracy,all_object_fidelity_to_base,covered_accuracy,covered_fidelity_to_base
palace,palace,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
pantry,pantry,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
parking_garage/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
pasture,pasture,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
patio,patio,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
pavilion,pavilion,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
pedestrian_overpass/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
pet_shop,pet_shop,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
pharmacy,pharmacy,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
physics_laboratory,physics_laboratory,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
picnic_area,picnic_area,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
pier,pier,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
pilothouse/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
pilothouse/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
pitchers_mound,pitchers_mound,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
plantation_house,plantation_house,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
playroom,playroom,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
plaza,plaza,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
podium/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
podium/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
pond,pond,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
poolroom/establishment,establishment,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
poolroom/home,home,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
porch,porch,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
portico,portico,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
power_plant/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
power_plant/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
print_shop,print_shop,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
priory,priory,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
promenade,promenade,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
pub/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
pump_room,pump_room,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
quadrangle,quadrangle,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
quonset_hut/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
raceway,raceway,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
raft,raft,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
rainforest,rainforest,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
ramp,ramp,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
ranch,ranch,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
ranch_house,ranch_house,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
reading_room,reading_room,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
reception,reception,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
recreation_room,recreation_room,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
recycling_plant/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
recycling_plant/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
residential_neighborhood,residential_neighborhood,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
resort,resort,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
restaurant,restaurant,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
restaurant_kitchen,restaurant_kitchen,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
restaurant_patio,restaurant_patio,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
restroom/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
restroom/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
revolving_door,revolving_door,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
rice_paddy,rice_paddy,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
river,river,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
road_cut,road_cut,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
rock_arch,rock_arch,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
rolling_mill,rolling_mill,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
roof,roof,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
roundabout,roundabout,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
rubble,rubble,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
ruin,ruin,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
sacristy,sacristy,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
salt_plain,salt_plain,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
sauna,sauna,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
sawmill,sawmill,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
schoolhouse,schoolhouse,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
schoolyard,schoolyard,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
science_museum,science_museum,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
sea_cliff,sea_cliff,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
seawall,seawall,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
server_room,server_room,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
sewing_room,sewing_room,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
shed,shed,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
shipping_room,shipping_room,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
shipyard/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
shoe_shop,shoe_shop,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
shopfront,shopfront,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
shopping_mall/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
shower,shower,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
signal_box,signal_box,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
ski_lodge,ski_lodge,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
ski_slope,ski_slope,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
sky,sky,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
slum,slum,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
snowfield,snowfield,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
spillway,spillway,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
squash_court,squash_court,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
stable,stable,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
stadium/baseball,baseball,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
stadium/football,football,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
stadium/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
stadium/soccer,soccer,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
stage/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
stage/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
staircase,staircase,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
steel_mill/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
stone_circle,stone_circle,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
street,street,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
strip_mall,strip_mall,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
strip_mine,strip_mine,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
submarine_interior,submarine_interior,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
subway_interior,subway_interior,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
subway_station/corridor,corridor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
subway_station/platform,platform,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
sushi_bar,sushi_bar,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
swamp,swamp,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
swimming_hole,swimming_hole,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
synagogue/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
synagogue/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
tea_garden,tea_garden,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
tearoom,tearoom,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
teashop,teashop,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
television_studio,television_studio,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
temple/east_asia,east_asia,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
temple/western,western,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
tennis_court/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
terrace_farm,terrace_farm,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
theater/indoor_procenium,indoor_procenium,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
theater/indoor_round,indoor_round,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
theater/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
thriftshop,thriftshop,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
throne_room,throne_room,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
ticket_window/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
toll_plaza,toll_plaza,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
tollbooth,tollbooth,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
tower,tower,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
town_house,town_house,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
toyshop,toyshop,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
track/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
trailer_park,trailer_park,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
train_depot,train_depot,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
train_railway,train_railway,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
train_station/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
train_station/station,station,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
tree_farm,tree_farm,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
trestle_bridge,trestle_bridge,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
tunnel/rail_outdoor,rail_outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
utility_room,utility_room,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
valley,valley,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
van_interior,van_interior,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
vegetable_garden,vegetable_garden,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
velodrome/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
velodrome/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
veranda,veranda,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
viaduct,viaduct,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
videostore,videostore,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
village,village,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
voting_booth,voting_booth,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
waiting_room,waiting_room,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
warehouse/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
watchtower,watchtower,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
water_mill,water_mill,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
water_tower,water_tower,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
water_treatment_plant/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
water_treatment_plant/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
waterfall/cascade,cascade,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
waterfall/cataract,cataract,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
waterfall/fan,fan,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
waterfall/plunge,plunge,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
wave,wave,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
weighbridge,weighbridge,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
wheat_field,wheat_field,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
wind_farm,wind_farm,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
window_seat,window_seat,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
wine_cellar/barrel_storage,barrel_storage,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
wine_cellar/bottle_storage,bottle_storage,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
winery,winery,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
witness_stand,witness_stand,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
woodland,woodland,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
workroom,workroom,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
youth_hostel,youth_hostel,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
zen_garden,zen_garden,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
bridge,bridge,4,1,4.0,0.0,1.0,0.75,0.0,0.0,,
airport_ticket_counter,airport_ticket_counter,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
amphitheater,amphitheater,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
aquatic_theater,aquatic_theater,4,1,4.0,0.25,0.75,0.75,0.25,0.25,1.0,1.0
arch,arch,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
archaelogical_excavation,archaelogical_excavation,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
arena/performance,performance,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
arrival_gate/outdoor,outdoor,4,1,4.0,0.25,0.75,0.75,0.25,0.0,1.0,0.0
art_school,art_school,4,1,4.0,0.25,0.75,0.75,0.0,0.25,0.0,1.0
attic,attic,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
bakery/shop,shop,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
ball_pit,ball_pit,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
barndoor,barndoor,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
baseball_field,baseball_field,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
basilica,basilica,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
basketball_court/outdoor,outdoor,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
beach,beach,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
beauty_salon,beauty_salon,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
boardwalk,boardwalk,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
boathouse,boathouse,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
booth/indoor,indoor,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
butchers_shop,butchers_shop,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
cabana,cabana,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
canal/urban,urban,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
catacomb,catacomb,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
cavern/indoor,indoor,4,1,4.0,0.25,0.75,0.75,0.0,0.25,0.0,1.0
cheese_factory,cheese_factory,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
chicken_coop/indoor,indoor,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
chicken_farm/outdoor,outdoor,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
cloister/indoor,indoor,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
closet,closet,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
confessional,confessional,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
crosswalk,crosswalk,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
darkroom,darkroom,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
delicatessen,delicatessen,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
dining_hall,dining_hall,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
discotheque,discotheque,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
drill_rig,drill_rig,4,1,4.0,0.25,0.75,0.75,0.25,0.0,1.0,0.0
driveway,driveway,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
drugstore,drugstore,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
dry_dock,dry_dock,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
earth_fissure,earth_fissure,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
electrical_substation,electrical_substation,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
factory/outdoor,outdoor,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
fish_farm,fish_farm,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
flight_of_stairs/natural,natural,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
forest_path,forest_path,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
foundry/indoor,indoor,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
fountain,fountain,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
funeral_chapel,funeral_chapel,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
furnace_room,furnace_room,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
garbage_dump,garbage_dump,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
great_hall,great_hall,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
greenhouse/indoor,indoor,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
hayfield,hayfield,4,1,4.0,0.25,0.75,0.75,0.25,0.25,1.0,1.0
hedge_maze,hedge_maze,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
heliport,heliport,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
hot_tub/outdoor,outdoor,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
igloo,igloo,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
industrial_area,industrial_area,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
jacuzzi/outdoor,outdoor,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
jail_cell,jail_cell,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
joss_house,joss_house,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
kennel/indoor,indoor,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
labyrinth/outdoor,outdoor,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
lake/artificial,artificial,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
lido_deck/outdoor,outdoor,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
lift_bridge,lift_bridge,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
mansion,mansion,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
market/indoor,indoor,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
mineshaft,mineshaft,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
moat/water,water,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
naval_base,naval_base,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
oilrig,oilrig,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
parade_ground,parade_ground,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
park,park,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
parking_garage/indoor,indoor,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
parlor,parlor,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
particle_accelerator,particle_accelerator,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
phone_booth,phone_booth,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
pig_farm,pig_farm,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
pizzeria,pizzeria,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
planetarium/indoor,indoor,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
planetarium/outdoor,outdoor,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
pulpit,pulpit,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
putting_green,putting_green,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
quay,quay,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
railroad_track,railroad_track,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
railway_yard,railway_yard,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
repair_shop,repair_shop,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
riding_arena,riding_arena,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
root_cellar,root_cellar,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
runway,runway,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
sandbar,sandbar,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
skatepark,skatepark,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
ski_jump,ski_jump,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
skyscraper,skyscraper,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
steel_mill/indoor,indoor,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
stilt_house/water,water,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
sun_deck,sun_deck,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
supermarket,supermarket,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
swimming_pool/indoor,indoor,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
swimming_pool/outdoor,outdoor,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
tent/indoor,indoor,4,1,4.0,0.25,0.75,0.75,0.25,0.25,1.0,1.0
topiary_garden,topiary_garden,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
tree_house,tree_house,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
trench,trench,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
underwater/coral_reef,coral_reef,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
ventilation_shaft,ventilation_shaft,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
waterfall/block,block,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
wet_bar,wet_bar,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
wharf,wharf,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
windmill,windmill,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
zoo,zoo,4,1,4.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0
apse/indoor,indoor,4,1,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
athletic_field/outdoor,outdoor,4,1,4.0,0.5,0.5,0.5,0.0,0.25,0.0,0.5
bamboo_forest,bamboo_forest,4,1,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
baptistry/indoor,indoor,4,1,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
beer_garden,beer_garden,4,1,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
burial_chamber,burial_chamber,4,1,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
crevasse,crevasse,4,1,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
dam,dam,4,1,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
driving_range/outdoor,outdoor,4,1,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
fairway,fairway,4,1,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
football_field,football_field,4,1,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
golf_course,golf_course,4,1,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
grotto,grotto,4,1,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
hallway,hallway,4,1,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
landfill,landfill,4,1,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
martial_arts_gym,martial_arts_gym,4,1,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
ossuary,ossuary,4,1,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
rope_bridge,rope_bridge,4,1,4.0,0.5,0.5,0.5,0.25,0.25,0.5,0.5
sand_trap,sand_trap,4,1,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
soccer_field,soccer_field,4,1,4.0,0.5,0.5,0.5,0.5,0.25,1.0,0.5
tent/outdoor,outdoor,4,1,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
track/outdoor,outdoor,4,1,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
underwater/ice,ice,4,1,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
veterinarians_office,veterinarians_office,4,1,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
volcano,volcano,4,1,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
aquarium,aquarium,4,1,4.0,0.75,0.25,0.25,0.0,0.25,0.0,0.3333333333333333
catwalk,catwalk,4,1,4.0,0.75,0.25,0.25,0.0,0.0,0.0,0.0
mine,mine,4,1,4.0,0.75,0.25,0.25,0.0,0.0,0.0,0.0
