scene_category,scene_leaf_examples,n_objects,n_classes,n,coverage,abstention_rate,conflict_rate,all_object_accuracy,all_object_fidelity_to_base,covered_accuracy,covered_fidelity_to_base
brickyard/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
building_complex,building_complex,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
building_facade,building_facade,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
bullpen,bullpen,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
bullring,bullring,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
bus_interior,bus_interior,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
bus_shelter,bus_shelter,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
bus_station/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
butte,butte,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
cabin/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
cafeteria,cafeteria,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
call_center,call_center,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
campsite,campsite,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
campus,campus,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
candy_store,candy_store,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
canteen,canteen,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
canyon,canyon,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
car_interior/backseat,backseat,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
caravansary,caravansary,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
cardroom,cardroom,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
cargo_deck/airplane,airplane,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
carport/freestanding,freestanding,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
carport/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
carrousel,carrousel,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
casino/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
castle,castle,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
cathedral/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
cathedral/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
chalet,chalet,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
chaparral,chaparral,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
chapel,chapel,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
checkout_counter,checkout_counter,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
chemical_plant,chemical_plant,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
chicken_coop/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
chicken_farm/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
childs_room,childs_room,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
church/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
circus_tent/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
circus_tent/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
city,city,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
classroom,classroom,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
clean_room,clean_room,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
cliff,cliff,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
cloister/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
clothing_store,clothing_store,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
coast,coast,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
cockpit,cockpit,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
coffee_shop,coffee_shop,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
computer_room,computer_room,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
conference_center,conference_center,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
conference_hall,conference_hall,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
conference_room,conference_room,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
construction_site,construction_site,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
control_room,control_room,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
control_tower/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
control_tower/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
convenience_store/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
corn_field,corn_field,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
corridor,corridor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
cottage,cottage,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
cottage_garden,cottage_garden,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
courthouse,courthouse,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
courtroom,courtroom,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
courtyard,courtyard,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
covered_bridge/exterior,exterior,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
crawl_space,crawl_space,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
creek,creek,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
cybercafe,cybercafe,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
